sub_id,customer_id,product_code,product_category,start_date,end_date,monthly_recurring_revenue,contract_period,auto_renewal
SUB-00034-001,SME-2024-00034,SME-DEDICATED-100,Internet Dedicated,2024-06-05,,8043058,12,True
SUB-00034-002,SME-2024-00034,SME-UC-BASIC,Unified Communication,2025-07-05,,773918,12,True
SUB-00034-003,SME-2024-00034,SME-BUNDLE-BIZ,Bundle Business,2025-08-05,,6613447,12,False
SUB-00035-001,SME-2024-00035,SME-IOT-STARTER,IoT Package,2021-09-16,,481664,12,True
SUB-00036-001,SME-2024-00036,SME-MANAGED-WIFI,Managed WiFi,2026-03-11,,1082303,24,False
SUB-00037-001,SME-2024-00037,SME-DEDICATED-50,Internet Dedicated,2026-05-07,,2811704,12,False
SUB-00038-001,SME-2024-00038,SME-BUNDLE-BIZ,Bundle Business,2026-04-30,,8288960,6,False
SUB-00038-002,SME-2024-00038,SME-BROADBAND-50,Broadband,2024-05-30,,2171029,12,True
SUB-00039-001,SME-2024-00039,SME-BROADBAND-50,Broadband,2025-12-07,,2322235,12,False
SUB-00039-002,SME-2024-00039,SME-BROADBAND-30,Broadband,2022-11-07,,691420,6,True
SUB-00039-003,SME-2024-00039,SME-IOT-STARTER,IoT Package,2025-11-07,,1379534,12,False
SUB-00040-001,SME-2024-00040,SME-BROADBAND-50,Broadband,2023-12-01,,1419056,24,True
SUB-00040-002,SME-2024-00040,SME-CLOUD-PRO,Cloud Service,2025-03-01,,6207225,24,True
SUB-00041-001,SME-2024-00041,SME-BROADBAND-30,Broadband,2023-08-14,,2551244,24,True
SUB-00042-001,SME-2024-00042,SME-DEDICATED-100,Internet Dedicated,2022-10-01,,4047935,12,True
SUB-00043-001,SME-2024-00043,SME-CLOUD-PRO,Cloud Service,2021-12-08,,6119888,12,True
SUB-00044-001,SME-2024-00044,SME-BROADBAND-50,Broadband,2023-04-14,,3344435,6,True
SUB-00044-002,SME-2024-00044,SME-BUNDLE-BIZ,Bundle Business,2024-03-14,,4183119,6,True
SUB-00045-001,SME-2024-00045,SME-BUNDLE-BIZ,Bundle Business,2020-06-20,,7126558,24,True
SUB-00045-002,SME-2024-00045,SME-DEDICATED-50,Internet Dedicated,2020-09-20,,3317082,12,True
SUB-00046-001,SME-2024-00046,SME-DEDICATED-100,Internet Dedicated,2026-06-23,,1962804,6,False
SUB-00046-002,SME-2024-00046,SME-DEDICATED-50,Internet Dedicated,2021-11-23,,5346450,24,True
SUB-00047-001,SME-2024-00047,SME-DEDICATED-50,Internet Dedicated,2022-04-16,,1950738,12,True
SUB-00047-002,SME-2024-00047,SME-CLOUD-BASIC,Cloud Service,2023-05-16,,1015909,24,True
SUB-00048-001,SME-2024-00048,SME-BUNDLE-BIZ,Bundle Business,2023-10-21,,4819505,6,True
SUB-00049-001,SME-2024-00049,SME-CLOUD-PRO,Cloud Service,2024-01-18,,6312549,12,True
SUB-00049-002,SME-2024-00049,SME-BROADBAND-50,Broadband,2024-04-18,,3866990,6,True
SUB-00050-001,SME-2024-00050,SME-BROADBAND-30,Broadband,2023-10-27,,926932,24,True
SUB-00051-001,SME-2024-00051,SME-CLOUD-PRO,Cloud Service,2023-09-04,,3877159,12,True
SUB-00052-001,SME-2024-00052,SME-DEDICATED-50,Internet Dedicated,2023-02-24,,2937327,12,True
SUB-00053-001,SME-2024-00053,SME-MANAGED-WIFI,Managed WiFi,2024-03-29,,1427260,6,True
SUB-00054-001,SME-2024-00054,SME-CLOUD-BASIC,Cloud Service,2024-10-12,,1516794,12,True
SUB-00055-001,SME-2024-00055,SME-DEDICATED-50,Internet Dedicated,2020-11-13,,2344606,12,True
SUB-00056-001,SME-2024-00056,SME-DEDICATED-100,Internet Dedicated,2022-07-04,,8059901,6,True
SUB-00057-001,SME-2024-00057,SME-BROADBAND-50,Broadband,2020-03-14,,2015729,12,True
SUB-00057-002,SME-2024-00057,SME-DEDICATED-50,Internet Dedicated,2026-04-14,,4696184,6,False
SUB-00058-001,SME-2024-00058,SME-MANAGED-WIFI,Managed WiFi,2024-11-16,,2210995,12,True
SUB-00058-002,SME-2024-00058,SME-UC-BASIC,Unified Communication,2025-02-16,,3222651,12,True
SUB-00059-001,SME-2024-00059,SME-MANAGED-WIFI,Managed WiFi,2023-10-25,,2320159,12,True
SUB-00060-001,SME-2024-00060,SME-DEDICATED-100,Internet Dedicated,2022-01-18,,6894319,24,True
SUB-00061-001,SME-2024-00061,SME-CLOUD-BASIC,Cloud Service,2024-09-30,,903596,12,True
SUB-00062-001,SME-2024-00062,SME-MANAGED-WIFI,Managed WiFi,2024-12-18,,2911256,24,False
SUB-00062-002,SME-2024-00062,SME-UC-BASIC,Unified Communication,2023-09-18,,2414249,24,True
SUB-00063-001,SME-2024-00063,SME-CLOUD-PRO,Cloud Service,2025-10-10,,6233919,12,False
SUB-00063-002,SME-2024-00063,SME-DEDICATED-100,Internet Dedicated,2022-01-10,,4851845,12,True
SUB-00064-001,SME-2024-00064,SME-CLOUD-PRO,Cloud Service,2020-06-14,,5215341,12,True
SUB-00064-002,SME-2024-00064,SME-UC-BASIC,Unified Communication,2020-09-14,,3051127,6,True
SUB-00065-001,SME-2024-00065,SME-UC-BASIC,Unified Communication,2022-01-16,,3058165,12,True
SUB-00066-001,SME-2024-00066,SME-BROADBAND-50,Broadband,2025-12-28,,1632018,12,False
SUB-00067-001,SME-2024-00067,SME-MANAGED-WIFI,Managed WiFi,2023-12-20,,2888765,12,True
SUB-00067-002,SME-2024-00067,SME-BUNDLE-BIZ,Bundle Business,2025-03-20,,2974987,12,True
SUB-00068-001,SME-2024-00068,SME-DEDICATED-100,Internet Dedicated,2024-11-12,,5684400,12,True
SUB-00068-002,SME-2024-00068,SME-MANAGED-WIFI,Managed WiFi,2025-05-12,,2010104,24,False
SUB-00069-001,SME-2024-00069,SME-BUNDLE-BIZ,Bundle Business,2026-05-30,,5924146,12,False
SUB-00070-001,SME-2024-00070,SME-CLOUD-BASIC,Cloud Service,2021-07-05,,925371,12,True
SUB-00070-002,SME-2024-00070,SME-DEDICATED-100,Internet Dedicated,2022-08-05,,8576033,12,True
SUB-00071-001,SME-2024-00071,SME-BROADBAND-30,Broadband,2023-03-08,,835386,12,True
SUB-00072-001,SME-2024-00072,SME-DEDICATED-50,Internet Dedicated,2026-06-03,,5170589,6,False
SUB-00072-002,SME-2024-00072,SME-CLOUD-PRO,Cloud Service,2022-09-03,,6328303,12,True
SUB-00073-001,SME-2024-00073,SME-BROADBAND-50,Broadband,2025-07-17,,3505735,12,False
SUB-00074-001,SME-2024-00074,SME-IOT-STARTER,IoT Package,2026-03-20,,951492,24,False
SUB-00074-002,SME-2024-00074,SME-DEDICATED-50,Internet Dedicated,2026-03-20,,3858276,6,False
SUB-00075-001,SME-2024-00075,SME-DEDICATED-100,Internet Dedicated,2021-06-18,,2996997,12,True
SUB-00076-001,SME-2024-00076,SME-CLOUD-PRO,Cloud Service,2021-12-19,,4242756,6,True
SUB-00076-002,SME-2024-00076,SME-BROADBAND-50,Broadband,2022-07-19,,3108365,6,True
SUB-00077-001,SME-2024-00077,SME-MANAGED-WIFI,Managed WiFi,2022-12-03,,3141093,6,True
SUB-00078-001,SME-2024-00078,SME-DEDICATED-100,Internet Dedicated,2022-01-01,,4165289,12,True
SUB-00078-002,SME-2024-00078,SME-BROADBAND-50,Broadband,2024-09-01,,2781365,24,False
SUB-00079-001,SME-2024-00079,SME-DEDICATED-50,Internet Dedicated,2026-01-18,,1279714,12,False
SUB-00080-001,SME-2024-00080,SME-BROADBAND-30,Broadband,2024-04-22,,2146413,24,True
SUB-00081-001,SME-2024-00081,SME-DEDICATED-100,Internet Dedicated,2025-09-01,,5590382,12,False
SUB-00082-001,SME-2024-00082,SME-UC-BASIC,Unified Communication,2022-10-30,,1251624,12,True
SUB-00083-001,SME-2024-00083,SME-IOT-STARTER,IoT Package,2025-11-25,,978785,12,False
SUB-00084-001,SME-2024-00084,SME-MANAGED-WIFI,Managed WiFi,2025-08-24,,990815,12,False
SUB-00084-002,SME-2024-00084,SME-DEDICATED-100,Internet Dedicated,2024-11-24,,3860677,24,False
SUB-00085-001,SME-2024-00085,SME-IOT-STARTER,IoT Package,2020-12-28,2021-11-28,1027789,6,True
SUB-00086-001,SME-2024-00086,SME-BUNDLE-BIZ,Bundle Business,2026-03-17,,6390391,6,False
SUB-00087-001,SME-2024-00087,SME-DEDICATED-100,Internet Dedicated,2026-01-30,,1904026,12,False
SUB-00087-002,SME-2024-00087,SME-UC-BASIC,Unified Communication,2022-10-30,,1989915,24,True
SUB-00088-001,SME-2024-00088,SME-CLOUD-BASIC,Cloud Service,2023-08-09,,1352838,24,True
SUB-00089-001,SME-2024-00089,SME-BROADBAND-30,Broadband,2024-05-20,,930031,12,True
SUB-00089-002,SME-2024-00089,SME-DEDICATED-50,Internet Dedicated,2025-04-20,,3025705,6,True
SUB-00090-001,SME-2024-00090,SME-MANAGED-WIFI,Managed WiFi,2021-07-18,,2925355,12,True
SUB-00091-001,SME-2024-00091,SME-MANAGED-WIFI,Managed WiFi,2025-08-01,,891544,12,False
SUB-00091-002,SME-2024-00091,SME-BROADBAND-50,Broadband,2025-11-01,,2643165,12,False
SUB-00091-003,SME-2024-00091,SME-DEDICATED-50,Internet Dedicated,2024-05-01,,3279758,12,True
SUB-00092-001,SME-2024-00092,SME-IOT-STARTER,IoT Package,2021-06-25,,1526782,12,True
SUB-00093-001,SME-2024-00093,SME-MANAGED-WIFI,Managed WiFi,2021-06-23,,701998,24,True
SUB-00094-001,SME-2024-00094,SME-DEDICATED-100,Internet Dedicated,2021-02-23,2021-10-23,4951794,12,False
SUB-00094-002,SME-2024-00094,SME-BROADBAND-50,Broadband,2021-10-23,2022-08-23,1431767,12,True
SUB-00095-001,SME-2024-00095,SME-CLOUD-BASIC,Cloud Service,2026-06-01,,852900,6,False
SUB-00096-001,SME-2024-00096,SME-BUNDLE-BIZ,Bundle Business,2021-03-10,,6117055,12,True
SUB-00097-001,SME-2024-00097,SME-BUNDLE-BIZ,Bundle Business,2021-01-08,,10595950,24,True
SUB-00098-001,SME-2024-00098,SME-IOT-STARTER,IoT Package,2026-03-24,,1399901,24,False
SUB-00099-001,SME-2024-00099,SME-BROADBAND-30,Broadband,2024-06-30,,1009032,12,True
SUB-00100-001,SME-2024-00100,SME-BROADBAND-50,Broadband,2021-11-22,,3903604,24,True
SUB-00101-001,SME-2024-00101,SME-BROADBAND-50,Broadband,2023-03-27,,3151333,24,True
SUB-00102-001,SME-2024-00102,SME-BROADBAND-50,Broadband,2026-02-20,,3036369,12,False
SUB-00103-001,SME-2024-00103,SME-CLOUD-PRO,Cloud Service,2024-03-01,,2499324,6,True
SUB-00104-001,SME-2024-00104,SME-DEDICATED-50,Internet Dedicated,2020-07-29,,2474145,24,True
SUB-00105-001,SME-2024-00105,SME-DEDICATED-50,Internet Dedicated,2023-06-05,,4450921,12,True
SUB-00106-001,SME-2024-00106,SME-CLOUD-PRO,Cloud Service,2026-04-13,,3292915,12,False
SUB-00106-002,SME-2024-00106,SME-BUNDLE-BIZ,Bundle Business,2026-02-13,,10146464,6,False
SUB-00107-001,SME-2024-00107,SME-CLOUD-PRO,Cloud Service,2025-09-01,,2091371,12,False
SUB-00108-001,SME-2024-00108,SME-IOT-STARTER,IoT Package,2026-06-27,,1285993,12,False
SUB-00109-001,SME-2024-00109,SME-IOT-STARTER,IoT Package,2022-10-15,,1265697,6,True
SUB-00110-001,SME-2024-00110,SME-DEDICATED-50,Internet Dedicated,2023-07-13,,2971818,12,True
SUB-00110-002,SME-2024-00110,SME-IOT-STARTER,IoT Package,2024-07-13,,651491,6,True
SUB-00111-001,SME-2024-00111,SME-BROADBAND-30,Broadband,2025-01-08,,1139191,24,False
SUB-00111-002,SME-2024-00111,SME-UC-BASIC,Unified Communication,2021-04-08,,1024705,12,True
SUB-00112-001,SME-2024-00112,SME-BROADBAND-50,Broadband,2022-08-26,,2582890,12,True
SUB-00113-001,SME-2024-00113,SME-DEDICATED-50,Internet Dedicated,2026-01-11,,2015125,6,False
SUB-00114-001,SME-2024-00114,SME-UC-BASIC,Unified Communication,2026-05-14,,2512438,6,False
SUB-00114-002,SME-2024-00114,SME-BUNDLE-BIZ,Bundle Business,2023-03-14,,10079210,24,True
SUB-00114-003,SME-2024-00114,SME-BROADBAND-30,Broadband,2023-05-14,,1256527,6,True
SUB-00115-001,SME-2024-00115,SME-UC-BASIC,Unified Communication,2023-02-04,2024-02-04,1431884,6,True
SUB-00116-001,SME-2024-00116,SME-UC-BASIC,Unified Communication,2026-04-28,,2964723,12,False
SUB-00117-001,SME-2024-00117,SME-CLOUD-PRO,Cloud Service,2022-08-13,,2894801,12,True
SUB-00118-001,SME-2024-00118,SME-MANAGED-WIFI,Managed WiFi,2021-06-04,,2330276,12,True
SUB-00119-001,SME-2024-00119,SME-DEDICATED-50,Internet Dedicated,2026-05-01,,2230008,12,False
SUB-00120-001,SME-2024-00120,SME-BROADBAND-30,Broadband,2021-05-25,,2570369,12,True
SUB-00121-001,SME-2024-00121,SME-DEDICATED-50,Internet Dedicated,2025-07-27,,1357571,12,False
SUB-00122-001,SME-2024-00122,SME-CLOUD-BASIC,Cloud Service,2025-08-21,,2372946,12,False
SUB-00123-001,SME-2024-00123,SME-DEDICATED-100,Internet Dedicated,2024-11-08,2025-09-08,5135543,12,True
SUB-00124-001,SME-2024-00124,SME-CLOUD-BASIC,Cloud Service,2026-04-03,,1140864,6,False
SUB-00124-002,SME-2024-00124,SME-DEDICATED-50,Internet Dedicated,2021-08-03,,2270830,24,True
SUB-00125-001,SME-2024-00125,SME-BROADBAND-30,Broadband,2020-03-23,,2100069,12,True
SUB-00126-001,SME-2024-00126,SME-IOT-STARTER,IoT Package,2026-05-03,,1197633,6,False
SUB-00127-001,SME-2024-00127,SME-CLOUD-BASIC,Cloud Service,2025-11-27,,2018345,12,False
SUB-00127-002,SME-2024-00127,SME-BROADBAND-50,Broadband,2022-05-27,2023-02-27,4046327,6,False
SUB-00128-001,SME-2024-00128,SME-BROADBAND-50,Broadband,2026-06-17,,1686354,6,False
SUB-00129-001,SME-2024-00129,SME-BUNDLE-BIZ,Bundle Business,2022-10-05,,7773778,12,True
SUB-00130-001,SME-2024-00130,SME-IOT-STARTER,IoT Package,2022-01-28,,1712811,24,True
SUB-00131-001,SME-2024-00131,SME-BROADBAND-30,Broadband,2020-11-10,,2487498,24,True
SUB-00132-001,SME-2024-00132,SME-CLOUD-BASIC,Cloud Service,2022-01-04,,2251358,6,True
SUB-00132-002,SME-2024-00132,SME-UC-BASIC,Unified Communication,2026-03-04,,1885315,6,False
SUB-00132-003,SME-2024-00132,SME-CLOUD-PRO,Cloud Service,2022-06-04,,3491119,6,True
SUB-00133-001,SME-2024-00133,SME-UC-BASIC,Unified Communication,2020-10-18,,2689155,12,True
SUB-00134-001,SME-2024-00134,SME-DEDICATED-100,Internet Dedicated,2022-06-23,,3952274,12,True
SUB-00135-001,SME-2024-00135,SME-UC-BASIC,Unified Communication,2026-04-26,,3286497,12,False
SUB-00136-001,SME-2024-00136,SME-IOT-STARTER,IoT Package,2024-05-19,,1501289,12,True
SUB-00136-002,SME-2024-00136,SME-BROADBAND-50,Broadband,2025-08-19,,3228992,12,True
SUB-00136-003,SME-2024-00136,SME-CLOUD-BASIC,Cloud Service,2026-05-19,,850993,12,False
SUB-00137-001,SME-2024-00137,SME-MANAGED-WIFI,Managed WiFi,2024-12-10,,930691,24,False
SUB-00138-001,SME-2024-00138,SME-BROADBAND-50,Broadband,2022-06-21,,2790612,12,True
SUB-00138-002,SME-2024-00138,SME-DEDICATED-50,Internet Dedicated,2022-09-21,,2731649,12,True
SUB-00139-001,SME-2024-00139,SME-DEDICATED-50,Internet Dedicated,2024-12-21,,3911217,6,True
SUB-00140-001,SME-2024-00140,SME-BUNDLE-BIZ,Bundle Business,2023-10-10,,2920765,6,True
SUB-00140-002,SME-2024-00140,SME-IOT-STARTER,IoT Package,2026-03-10,,827743,12,False
SUB-00141-001,SME-2024-00141,SME-CLOUD-BASIC,Cloud Service,2021-03-31,,641727,6,True
SUB-00142-001,SME-2024-00142,SME-CLOUD-BASIC,Cloud Service,2021-12-02,,2094640,12,True
SUB-00143-001,SME-2024-00143,SME-UC-BASIC,Unified Communication,2025-09-20,,1071459,12,False
SUB-00144-001,SME-2024-00144,SME-CLOUD-BASIC,Cloud Service,2024-08-14,,633138,12,True
SUB-00144-002,SME-2024-00144,SME-BROADBAND-50,Broadband,2026-01-14,,1928059,12,False
SUB-00144-003,SME-2024-00144,SME-IOT-STARTER,IoT Package,2025-04-14,,723416,12,True
SUB-00145-001,SME-2024-00145,SME-BROADBAND-50,Broadband,2022-02-19,,2848220,12,True
SUB-00146-001,SME-2024-00146,SME-IOT-STARTER,IoT Package,2024-04-11,2024-12-11,705445,12,True
SUB-00146-002,SME-2024-00146,SME-DEDICATED-100,Internet Dedicated,2024-11-11,,4455464,12,True
SUB-00147-001,SME-2024-00147,SME-BROADBAND-50,Broadband,2021-05-07,,4204491,6,True
SUB-00147-002,SME-2024-00147,SME-BUNDLE-BIZ,Bundle Business,2022-03-07,,9342633,6,True
SUB-00148-001,SME-2024-00148,SME-BROADBAND-30,Broadband,2020-10-01,,1996403,12,True
SUB-00149-001,SME-2024-00149,SME-BROADBAND-30,Broadband,2026-01-26,,1848978,12,False
SUB-00150-001,SME-2024-00150,SME-DEDICATED-50,Internet Dedicated,2023-01-19,,1885212,12,True
SUB-00151-001,SME-2024-00151,SME-MANAGED-WIFI,Managed WiFi,2020-10-12,,714551,6,True
SUB-00151-002,SME-2024-00151,SME-CLOUD-PRO,Cloud Service,2021-02-12,,5290492,6,True
SUB-00152-001,SME-2024-00152,SME-DEDICATED-50,Internet Dedicated,2022-06-23,,1202032,12,True
SUB-00152-002,SME-2024-00152,SME-BROADBAND-50,Broadband,2023-01-23,,1017656,12,True
SUB-00153-001,SME-2024-00153,SME-DEDICATED-50,Internet Dedicated,2025-07-03,,5350719,12,False
SUB-00154-001,SME-2024-00154,SME-MANAGED-WIFI,Managed WiFi,2023-11-22,,2845298,12,True
SUB-00154-002,SME-2024-00154,SME-IOT-STARTER,IoT Package,2024-09-22,,1377227,12,True
SUB-00155-001,SME-2024-00155,SME-MANAGED-WIFI,Managed WiFi,2026-05-29,,2557588,12,False
SUB-00155-002,SME-2024-00155,SME-CLOUD-PRO,Cloud Service,2022-09-29,,3342202,12,True
SUB-00156-001,SME-2024-00156,SME-MANAGED-WIFI,Managed WiFi,2023-06-19,,2075830,6,True
SUB-00157-001,SME-2024-00157,SME-BROADBAND-30,Broadband,2022-06-08,,1973705,24,True
SUB-00157-002,SME-2024-00157,SME-CLOUD-PRO,Cloud Service,2022-09-08,,2327598,12,True
SUB-00158-001,SME-2024-00158,SME-UC-BASIC,Unified Communication,2022-06-21,,3216068,12,True
SUB-00159-001,SME-2024-00159,SME-UC-BASIC,Unified Communication,2023-06-28,,2060952,6,True
SUB-00159-002,SME-2024-00159,SME-MANAGED-WIFI,Managed WiFi,2024-05-28,,2555498,12,True
SUB-00160-001,SME-2024-00160,SME-BROADBAND-50,Broadband,2021-12-05,,2019146,12,True
SUB-00161-001,SME-2024-00161,SME-UC-BASIC,Unified Communication,2024-11-19,,2489107,6,True
SUB-00161-002,SME-2024-00161,SME-CLOUD-BASIC,Cloud Service,2025-04-19,,2246985,6,True
SUB-00162-001,SME-2024-00162,SME-IOT-STARTER,IoT Package,2025-09-17,,1073809,12,False
SUB-00163-001,SME-2024-00163,SME-MANAGED-WIFI,Managed WiFi,2021-03-31,,1744579,6,True
SUB-00164-001,SME-2024-00164,SME-CLOUD-PRO,Cloud Service,2026-04-24,,2005697,6,False
SUB-00165-001,SME-2024-00165,SME-CLOUD-BASIC,Cloud Service,2024-02-16,,1991001,24,True
SUB-00165-002,SME-2024-00165,SME-CLOUD-PRO,Cloud Service,2024-12-16,,1921754,24,True
SUB-00166-001,SME-2024-00166,SME-BROADBAND-30,Broadband,2022-05-20,,1151255,12,True
SUB-00167-001,SME-2024-00167,SME-DEDICATED-50,Internet Dedicated,2020-03-11,,1423438,12,True
SUB-00168-001,SME-2024-00168,SME-DEDICATED-100,Internet Dedicated,2026-01-10,,8044510,6,False
SUB-00169-001,SME-2024-00169,SME-CLOUD-PRO,Cloud Service,2023-07-02,,6100051,6,True
SUB-00170-001,SME-2024-00170,SME-IOT-STARTER,IoT Package,2024-01-24,,1540818,24,True
SUB-00170-002,SME-2024-00170,SME-DEDICATED-50,Internet Dedicated,2024-06-24,,1180484,12,True
SUB-00170-003,SME-2024-00170,SME-CLOUD-PRO,Cloud Service,2025-04-24,,5912512,12,True
SUB-00171-001,SME-2024-00171,SME-UC-BASIC,Unified Communication,2025-08-05,,1472667,24,False
SUB-00171-002,SME-2024-00171,SME-BROADBAND-30,Broadband,2022-10-05,,871227,12,True
SUB-00172-001,SME-2024-00172,SME-MANAGED-WIFI,Managed WiFi,2023-11-27,,3056824,24,True
SUB-00173-001,SME-2024-00173,SME-BROADBAND-50,Broadband,2021-07-21,,1937186,12,True
SUB-00174-001,SME-2024-00174,SME-IOT-STARTER,IoT Package,2024-12-26,,2017252,12,True
SUB-00174-002,SME-2024-00174,SME-BROADBAND-30,Broadband,2025-10-26,,2429005,6,True
SUB-00174-003,SME-2024-00174,SME-DEDICATED-50,Internet Dedicated,2025-07-26,,5081671,12,False
SUB-00175-001,SME-2024-00175,SME-DEDICATED-50,Internet Dedicated,2021-08-09,,1578009,12,True
SUB-00176-001,SME-2024-00176,SME-DEDICATED-50,Internet Dedicated,2023-10-10,,5022623,6,True
SUB-00177-001,SME-2024-00177,SME-UC-BASIC,Unified Communication,2025-11-19,,2896318,12,False
SUB-00178-001,SME-2024-00178,SME-CLOUD-PRO,Cloud Service,2020-10-04,,5383882,12,True
SUB-00178-002,SME-2024-00178,SME-DEDICATED-100,Internet Dedicated,2022-01-04,,2520629,12,True
SUB-00179-001,SME-2024-00179,SME-DEDICATED-100,Internet Dedicated,2026-04-24,,7825326,6,False
SUB-00179-002,SME-2024-00179,SME-IOT-STARTER,IoT Package,2025-08-24,,1804316,12,True
SUB-00180-001,SME-2024-00180,SME-UC-BASIC,Unified Communication,2021-10-16,,2046769,6,True
SUB-00181-001,SME-2024-00181,SME-DEDICATED-50,Internet Dedicated,2026-01-24,,1379309,12,False
SUB-00181-002,SME-2024-00181,SME-BROADBAND-50,Broadband,2026-04-24,,3566139,6,False
SUB-00181-003,SME-2024-00181,SME-CLOUD-BASIC,Cloud Service,2022-06-24,,2470366,6,True
SUB-00182-001,SME-2024-00182,SME-UC-BASIC,Unified Communication,2023-12-27,,1820759,12,True
SUB-00182-002,SME-2024-00182,SME-BROADBAND-30,Broadband,2024-12-27,,2437739,6,True
SUB-00183-001,SME-2024-00183,SME-CLOUD-PRO,Cloud Service,2023-01-12,,3197103,12,True
