intervention_id,customer_id,intervention_date,intervention_type,channel_used,outcome,cost_incurred,follow_up_date
IVN-00126-138,SME-2024-00126,2025-07-07,Discount Package,Visit,Accepted,100000,2025-07-17
IVN-00127-139,SME-2024-00127,2026-03-18,Win-back Call,Phone Call,No Response,500000,2026-04-17
IVN-00128-140,SME-2024-00128,2026-03-06,Retention Offer,Email,Accepted,100000,2026-03-28
IVN-00128-141,SME-2024-00128,2026-02-13,Executive Check-in,Phone Call,Accepted,100000,2026-02-22
IVN-00128-142,SME-2024-00128,2025-07-17,Executive Check-in,Visit,Accepted,500000,2025-08-14
IVN-00130-143,SME-2024-00130,2025-08-16,Service Upgrade Offer,Visit,No Response,500000,2025-09-02
IVN-00131-144,SME-2024-00131,2026-06-19,Win-back Call,Email,Accepted,250000,2026-07-10
IVN-00132-145,SME-2024-00132,2025-12-07,Service Upgrade Offer,Phone Call,Declined,100000,2025-12-22
IVN-00132-146,SME-2024-00132,2026-02-03,Service Upgrade Offer,Visit,Accepted,250000,2026-03-01
IVN-00132-147,SME-2024-00132,2025-11-03,Service Upgrade Offer,Visit,Accepted,250000,2025-11-26
IVN-00134-148,SME-2024-00134,2026-05-14,Executive Check-in,Visit,Accepted,100000,2026-06-07
IVN-00135-149,SME-2024-00135,2025-09-17,Service Upgrade Offer,Email,Accepted,100000,2025-10-16
IVN-00136-150,SME-2024-00136,2026-03-01,Executive Check-in,Visit,Accepted,500000,2026-03-13
IVN-00141-151,SME-2024-00141,2025-07-10,Win-back Call,Visit,No Response,500000,2025-07-31
IVN-00142-152,SME-2024-00142,2026-03-17,Retention Offer,Email,Accepted,500000,2026-04-10
IVN-00143-153,SME-2024-00143,2026-06-04,Retention Offer,Visit,No Response,250000,2026-06-28
IVN-00146-154,SME-2024-00146,2026-02-02,Win-back Call,Email,Accepted,250000,2026-03-02
IVN-00147-155,SME-2024-00147,2026-04-02,Win-back Call,Email,No Response,250000,2026-04-21
IVN-00148-156,SME-2024-00148,2025-07-10,Loyalty Reward,WhatsApp,No Response,250000,2025-07-24
IVN-00148-157,SME-2024-00148,2025-12-03,Executive Check-in,Visit,Accepted,500000,2026-01-02
IVN-00148-158,SME-2024-00148,2026-05-11,Win-back Call,Visit,Declined,100000,2026-05-20
IVN-00149-159,SME-2024-00149,2026-06-19,Discount Package,WhatsApp,Accepted,100000,2026-07-02
IVN-00149-160,SME-2024-00149,2026-01-18,Retention Offer,WhatsApp,Accepted,100000,2026-02-07
IVN-00150-161,SME-2024-00150,2026-01-04,Loyalty Reward,Visit,Partial,250000,2026-01-25
IVN-00150-162,SME-2024-00150,2025-11-08,Service Upgrade Offer,Phone Call,Accepted,500000,2025-11-18
IVN-00151-163,SME-2024-00151,2026-05-12,Loyalty Reward,WhatsApp,Accepted,100000,2026-06-10
IVN-00154-164,SME-2024-00154,2026-04-01,Retention Offer,WhatsApp,No Response,250000,2026-04-12
IVN-00154-165,SME-2024-00154,2025-10-18,Retention Offer,Phone Call,No Response,250000,2025-11-09
IVN-00154-166,SME-2024-00154,2026-03-06,Service Upgrade Offer,Visit,Accepted,500000,2026-03-19
IVN-00155-167,SME-2024-00155,2025-11-11,Retention Offer,WhatsApp,Accepted,250000,2025-12-10
IVN-00155-168,SME-2024-00155,2026-06-24,Retention Offer,Email,Declined,250000,2026-07-03
IVN-00155-169,SME-2024-00155,2026-06-10,Executive Check-in,Email,Accepted,500000,2026-06-19
IVN-00156-170,SME-2024-00156,2026-02-22,Executive Check-in,Phone Call,No Response,500000,2026-03-02
IVN-00156-171,SME-2024-00156,2025-12-10,Loyalty Reward,Email,No Response,100000,2025-12-19
IVN-00158-172,SME-2024-00158,2026-04-23,Win-back Call,Phone Call,Partial,250000,2026-05-01
IVN-00159-173,SME-2024-00159,2025-09-20,Executive Check-in,Visit,Declined,500000,2025-10-13
IVN-00161-174,SME-2024-00161,2026-06-05,Win-back Call,WhatsApp,Accepted,100000,2026-06-15
IVN-00161-175,SME-2024-00161,2026-04-10,Discount Package,Email,Accepted,100000,2026-04-28
IVN-00164-176,SME-2024-00164,2026-04-15,Discount Package,Visit,Partial,500000,2026-05-06
IVN-00164-177,SME-2024-00164,2026-03-16,Loyalty Reward,Visit,No Response,500000,2026-04-07
IVN-00165-178,SME-2024-00165,2026-01-15,Discount Package,Email,Partial,500000,2026-01-31
IVN-00166-179,SME-2024-00166,2026-03-06,Retention Offer,Phone Call,Accepted,250000,2026-03-27
IVN-00166-180,SME-2024-00166,2026-04-02,Discount Package,Phone Call,Declined,250000,2026-04-13
IVN-00166-181,SME-2024-00166,2025-08-17,Service Upgrade Offer,Phone Call,Accepted,250000,2025-08-27
IVN-00171-182,SME-2024-00171,2026-01-19,Retention Offer,WhatsApp,Accepted,500000,2026-02-09
IVN-00172-183,SME-2024-00172,2025-09-14,Loyalty Reward,Email,Accepted,500000,2025-10-14
IVN-00175-184,SME-2024-00175,2026-05-19,Executive Check-in,WhatsApp,Partial,100000,2026-06-07
IVN-00176-185,SME-2024-00176,2026-02-20,Discount Package,Phone Call,Accepted,100000,2026-03-04
IVN-00178-186,SME-2024-00178,2025-12-01,Loyalty Reward,WhatsApp,Accepted,250000,2025-12-10
IVN-00178-187,SME-2024-00178,2026-05-12,Retention Offer,WhatsApp,Accepted,250000,2026-06-06
IVN-00179-188,SME-2024-00179,2025-12-17,Service Upgrade Offer,Email,Accepted,500000,2026-01-13
IVN-00179-189,SME-2024-00179,2025-10-21,Retention Offer,WhatsApp,No Response,250000,2025-11-06
IVN-00181-190,SME-2024-00181,2026-06-24,Win-back Call,Email,Accepted,100000,2026-07-10
IVN-00181-191,SME-2024-00181,2026-04-24,Loyalty Reward,Phone Call,Accepted,500000,2026-05-22
IVN-00182-192,SME-2024-00182,2026-05-14,Win-back Call,WhatsApp,Partial,250000,2026-06-12
IVN-00183-193,SME-2024-00183,2025-07-07,Executive Check-in,Email,No Response,500000,2025-07-25
IVN-00184-194,SME-2024-00184,2025-11-09,Executive Check-in,Phone Call,Accepted,100000,2025-11-17
IVN-00185-195,SME-2024-00185,2025-10-24,Discount Package,WhatsApp,No Response,500000,2025-11-19
IVN-00185-196,SME-2024-00185,2025-08-05,Loyalty Reward,Visit,No Response,100000,2025-08-13
IVN-00186-197,SME-2024-00186,2025-10-03,Executive Check-in,Email,No Response,250000,2025-10-31
IVN-00186-198,SME-2024-00186,2026-04-03,Retention Offer,Email,Accepted,100000,2026-04-22
IVN-00186-199,SME-2024-00186,2026-01-08,Executive Check-in,WhatsApp,Accepted,100000,2026-01-30
IVN-00187-200,SME-2024-00187,2026-01-15,Win-back Call,Email,Accepted,500000,2026-02-13
IVN-00187-201,SME-2024-00187,2025-09-13,Discount Package,WhatsApp,Accepted,250000,2025-10-02
IVN-00188-202,SME-2024-00188,2025-11-05,Executive Check-in,Phone Call,Accepted,250000,2025-12-04
IVN-00190-203,SME-2024-00190,2026-05-15,Win-back Call,Phone Call,No Response,100000,2026-06-12
IVN-00191-204,SME-2024-00191,2025-07-05,Executive Check-in,Visit,Accepted,500000,2025-08-01
IVN-00193-205,SME-2024-00193,2025-09-16,Executive Check-in,Visit,Accepted,100000,2025-10-06
IVN-00195-206,SME-2024-00195,2026-06-15,Retention Offer,WhatsApp,Declined,500000,2026-07-01
IVN-00195-207,SME-2024-00195,2026-04-10,Discount Package,Visit,Accepted,500000,2026-04-21
IVN-00195-208,SME-2024-00195,2025-07-02,Loyalty Reward,WhatsApp,Accepted,100000,2025-07-21
IVN-00195-209,SME-2024-00195,2025-11-18,Loyalty Reward,WhatsApp,Accepted,250000,2025-11-27
IVN-00197-210,SME-2024-00197,2025-08-10,Executive Check-in,WhatsApp,Accepted,500000,2025-09-09
IVN-00199-211,SME-2024-00199,2025-11-12,Service Upgrade Offer,Email,No Response,100000,2025-12-09
IVN-00201-212,SME-2024-00201,2025-07-24,Executive Check-in,Visit,Declined,250000,2025-08-04
IVN-00202-213,SME-2024-00202,2025-09-15,Retention Offer,Email,Declined,500000,2025-10-06
IVN-00203-214,SME-2024-00203,2026-02-19,Discount Package,Visit,Accepted,500000,2026-03-04
IVN-00204-215,SME-2024-00204,2026-03-16,Executive Check-in,Phone Call,Accepted,250000,2026-03-27
IVN-00204-216,SME-2024-00204,2025-09-04,Executive Check-in,Phone Call,Accepted,100000,2025-09-26
IVN-00205-217,SME-2024-00205,2025-07-06,Retention Offer,Visit,Partial,100000,2025-08-04
IVN-00205-218,SME-2024-00205,2026-04-20,Service Upgrade Offer,Email,Accepted,500000,2026-05-08
IVN-00208-219,SME-2024-00208,2026-05-16,Retention Offer,WhatsApp,No Response,500000,2026-05-29
IVN-00208-220,SME-2024-00208,2025-08-16,Service Upgrade Offer,Phone Call,No Response,250000,2025-08-30
IVN-00208-221,SME-2024-00208,2025-12-09,Executive Check-in,Visit,Declined,250000,2026-01-07
IVN-00209-222,SME-2024-00209,2026-06-04,Executive Check-in,Email,Accepted,100000,2026-06-25
IVN-00209-223,SME-2024-00209,2025-09-08,Win-back Call,Visit,Accepted,500000,2025-09-24
IVN-00209-224,SME-2024-00209,2026-03-09,Executive Check-in,Email,Accepted,500000,2026-04-01
IVN-00209-225,SME-2024-00209,2026-02-19,Win-back Call,WhatsApp,Accepted,250000,2026-03-06
IVN-00212-226,SME-2024-00212,2026-03-22,Retention Offer,Phone Call,Accepted,100000,2026-04-14
IVN-00212-227,SME-2024-00212,2025-12-09,Retention Offer,WhatsApp,Accepted,500000,2025-12-28
IVN-00212-228,SME-2024-00212,2025-08-02,Executive Check-in,WhatsApp,Accepted,100000,2025-08-28
IVN-00212-229,SME-2024-00212,2025-10-05,Loyalty Reward,Visit,No Response,100000,2025-10-23
IVN-00213-230,SME-2024-00213,2025-12-03,Executive Check-in,WhatsApp,Partial,250000,2025-12-28
IVN-00213-231,SME-2024-00213,2026-04-19,Loyalty Reward,Visit,No Response,250000,2026-05-10
IVN-00213-232,SME-2024-00213,2026-04-01,Loyalty Reward,Email,Accepted,100000,2026-04-19
IVN-00214-233,SME-2024-00214,2025-11-05,Service Upgrade Offer,Visit,Accepted,500000,2025-11-27
IVN-00214-234,SME-2024-00214,2025-11-16,Loyalty Reward,Visit,Accepted,500000,2025-12-06
IVN-00215-235,SME-2024-00215,2025-07-12,Loyalty Reward,Visit,Accepted,250000,2025-08-09
IVN-00216-236,SME-2024-00216,2025-12-16,Discount Package,Visit,Partial,100000,2026-01-13
IVN-00216-237,SME-2024-00216,2026-06-13,Service Upgrade Offer,Phone Call,Declined,250000,2026-06-24
IVN-00216-238,SME-2024-00216,2025-09-08,Retention Offer,WhatsApp,Accepted,100000,2025-09-30
IVN-00217-239,SME-2024-00217,2025-08-07,Service Upgrade Offer,Visit,No Response,100000,2025-09-05
IVN-00217-240,SME-2024-00217,2025-08-10,Loyalty Reward,WhatsApp,Declined,500000,2025-08-23
IVN-00218-241,SME-2024-00218,2025-12-17,Service Upgrade Offer,Phone Call,Accepted,250000,2026-01-06
IVN-00218-242,SME-2024-00218,2026-06-15,Service Upgrade Offer,Visit,Accepted,250000,2026-07-08
IVN-00220-243,SME-2024-00220,2026-01-19,Service Upgrade Offer,Email,Accepted,500000,2026-02-02
IVN-00221-244,SME-2024-00221,2025-10-24,Loyalty Reward,Phone Call,Accepted,250000,2025-11-14
IVN-00221-245,SME-2024-00221,2026-05-05,Discount Package,Visit,Accepted,500000,2026-05-26
IVN-00223-246,SME-2024-00223,2025-08-12,Executive Check-in,Phone Call,Accepted,250000,2025-08-31
IVN-00225-247,SME-2024-00225,2026-03-16,Discount Package,WhatsApp,Partial,500000,2026-04-02
IVN-00225-248,SME-2024-00225,2025-10-04,Service Upgrade Offer,Email,No Response,100000,2025-10-13
IVN-00227-249,SME-2024-00227,2025-12-05,Executive Check-in,WhatsApp,Accepted,100000,2026-01-02
IVN-00227-250,SME-2024-00227,2026-03-06,Retention Offer,WhatsApp,Accepted,100000,2026-03-14
IVN-00228-251,SME-2024-00228,2026-06-14,Retention Offer,Email,Accepted,250000,2026-07-04
IVN-00232-252,SME-2024-00232,2025-09-22,Executive Check-in,Phone Call,No Response,100000,2025-10-12
IVN-00233-253,SME-2024-00233,2025-11-06,Loyalty Reward,Phone Call,Accepted,100000,2025-11-23
IVN-00233-254,SME-2024-00233,2025-07-23,Service Upgrade Offer,WhatsApp,Accepted,250000,2025-08-22
IVN-00237-255,SME-2024-00237,2025-11-18,Executive Check-in,Email,Accepted,500000,2025-12-03
IVN-00239-256,SME-2024-00239,2026-02-19,Service Upgrade Offer,Email,Declined,100000,2026-03-05
IVN-00240-257,SME-2024-00240,2026-02-02,Win-back Call,Visit,Accepted,500000,2026-03-02
IVN-00241-258,SME-2024-00241,2026-06-04,Service Upgrade Offer,Phone Call,No Response,100000,2026-06-28
IVN-00241-259,SME-2024-00241,2025-10-12,Win-back Call,Email,Accepted,100000,2025-11-01
IVN-00242-260,SME-2024-00242,2026-06-04,Service Upgrade Offer,Visit,No Response,250000,2026-06-11
IVN-00244-261,SME-2024-00244,2025-11-02,Executive Check-in,Email,Partial,100000,2025-11-16
IVN-00245-262,SME-2024-00245,2025-07-05,Discount Package,WhatsApp,Declined,500000,2025-07-12
IVN-00246-263,SME-2024-00246,2026-06-17,Retention Offer,Phone Call,Accepted,500000,2026-06-25
IVN-00247-264,SME-2024-00247,2026-03-11,Discount Package,Phone Call,Declined,250000,2026-04-02
IVN-00247-265,SME-2024-00247,2026-04-03,Win-back Call,Email,Declined,500000,2026-04-25
