metric_id,customer_id,period_month,bandwidth_utilization_pct,avg_daily_usage_hours,peak_usage_trend,service_downtime_minutes,support_ticket_count,feature_adoption_score
USE-00007-202601,SME-2024-00007,2026-01,70.2,10.7,Stabil,45,1,8
USE-00007-202602,SME-2024-00007,2026-02,66.6,10.0,Fluktuatif,60,0,8
USE-00007-202603,SME-2024-00007,2026-03,68.5,9.8,Stabil,1,0,8
USE-00007-202604,SME-2024-00007,2026-04,66.5,8.9,Stabil,28,1,8
USE-00007-202605,SME-2024-00007,2026-05,67.9,9.6,Stabil,29,2,7
USE-00007-202606,SME-2024-00007,2026-06,68.8,10.2,Stabil,94,0,7
USE-00008-202507,SME-2024-00008,2025-07,56.0,8.6,Turun,29,1,8
USE-00008-202508,SME-2024-00008,2025-08,54.4,7.0,Turun,115,1,8
USE-00008-202509,SME-2024-00008,2025-09,56.2,8.7,Turun,16,1,8
USE-00008-202510,SME-2024-00008,2025-10,55.2,7.7,Turun,0,1,8
USE-00008-202511,SME-2024-00008,2025-11,51.2,7.3,Turun,2,0,8
USE-00008-202512,SME-2024-00008,2025-12,47.6,6.6,Turun,4,1,7
USE-00008-202601,SME-2024-00008,2026-01,50.4,7.7,Turun,34,2,8
USE-00008-202602,SME-2024-00008,2026-02,49.7,8.0,Turun,9,0,7
USE-00008-202603,SME-2024-00008,2026-03,49.4,7.7,Turun,58,2,8
USE-00008-202604,SME-2024-00008,2026-04,50.7,8.9,Turun,8,1,7
USE-00008-202605,SME-2024-00008,2026-05,45.7,6.8,Turun,46,0,8
USE-00008-202606,SME-2024-00008,2026-06,51.0,7.6,Turun,35,0,8
USE-00009-202507,SME-2024-00009,2025-07,88.8,13.1,Stabil,4,0,8
USE-00009-202508,SME-2024-00009,2025-08,83.5,12.0,Stabil,152,0,7
USE-00009-202509,SME-2024-00009,2025-09,83.1,12.4,Stabil,7,1,6
USE-00009-202510,SME-2024-00009,2025-10,87.5,13.2,Stabil,19,2,7
USE-00009-202511,SME-2024-00009,2025-11,82.8,12.1,Fluktuatif,77,1,7
USE-00009-202512,SME-2024-00009,2025-12,84.5,13.6,Stabil,30,0,8
USE-00009-202601,SME-2024-00009,2026-01,86.8,13.2,Stabil,23,1,7
USE-00009-202602,SME-2024-00009,2026-02,84.0,12.3,Stabil,8,2,8
USE-00009-202603,SME-2024-00009,2026-03,80.9,11.0,Fluktuatif,59,2,7
USE-00009-202604,SME-2024-00009,2026-04,82.3,11.7,Stabil,14,0,7
USE-00009-202605,SME-2024-00009,2026-05,80.8,12.3,Fluktuatif,55,0,7
USE-00009-202606,SME-2024-00009,2026-06,80.0,12.0,Stabil,8,2,7
USE-00010-202507,SME-2024-00010,2025-07,65.3,9.2,Stabil,17,2,5
USE-00010-202508,SME-2024-00010,2025-08,66.2,9.1,Fluktuatif,69,1,5
USE-00010-202509,SME-2024-00010,2025-09,67.4,9.0,Stabil,13,2,4
USE-00010-202510,SME-2024-00010,2025-10,68.1,10.2,Stabil,15,0,6
USE-00010-202511,SME-2024-00010,2025-11,70.0,10.3,Stabil,75,1,5
USE-00010-202512,SME-2024-00010,2025-12,64.4,9.2,Stabil,57,0,4
USE-00010-202601,SME-2024-00010,2026-01,67.5,10.3,Stabil,7,2,5
USE-00010-202602,SME-2024-00010,2026-02,70.7,10.3,Stabil,5,1,5
USE-00010-202603,SME-2024-00010,2026-03,67.7,10.2,Stabil,43,0,5
USE-00010-202604,SME-2024-00010,2026-04,74.0,11.2,Stabil,3,2,5
USE-00010-202605,SME-2024-00010,2026-05,68.4,10.3,Fluktuatif,26,4,6
USE-00010-202606,SME-2024-00010,2026-06,72.5,10.8,Fluktuatif,3,3,5
USE-00011-202507,SME-2024-00011,2025-07,79.5,11.9,Fluktuatif,58,1,8
USE-00011-202508,SME-2024-00011,2025-08,74.7,11.3,Stabil,46,1,7
USE-00011-202509,SME-2024-00011,2025-09,73.7,11.4,Stabil,42,2,7
USE-00011-202510,SME-2024-00011,2025-10,73.4,11.0,Stabil,5,0,8
USE-00011-202511,SME-2024-00011,2025-11,77.4,11.1,Stabil,29,1,8
USE-00011-202512,SME-2024-00011,2025-12,75.1,11.4,Fluktuatif,73,0,8
USE-00011-202601,SME-2024-00011,2026-01,78.6,10.9,Stabil,23,2,8
USE-00011-202602,SME-2024-00011,2026-02,76.6,11.6,Stabil,21,0,8
USE-00011-202603,SME-2024-00011,2026-03,77.0,11.0,Fluktuatif,7,1,7
USE-00011-202604,SME-2024-00011,2026-04,75.9,11.3,Stabil,20,0,8
USE-00011-202605,SME-2024-00011,2026-05,77.2,11.5,Fluktuatif,24,3,7
USE-00011-202606,SME-2024-00011,2026-06,75.4,11.8,Stabil,67,1,8
USE-00012-202507,SME-2024-00012,2025-07,85.7,13.2,Stabil,7,1,7
USE-00012-202508,SME-2024-00012,2025-08,87.7,12.6,Stabil,57,0,8
USE-00012-202509,SME-2024-00012,2025-09,80.8,12.3,Fluktuatif,38,2,7
USE-00012-202510,SME-2024-00012,2025-10,85.6,13.1,Fluktuatif,23,1,7
USE-00012-202511,SME-2024-00012,2025-11,84.1,12.8,Stabil,34,0,7
USE-00012-202512,SME-2024-00012,2025-12,81.3,11.7,Stabil,36,1,7
USE-00012-202601,SME-2024-00012,2026-01,82.3,11.6,Stabil,1,2,7
USE-00012-202602,SME-2024-00012,2026-02,85.6,12.6,Stabil,34,0,8
USE-00012-202603,SME-2024-00012,2026-03,83.8,12.6,Stabil,67,1,7
USE-00012-202604,SME-2024-00012,2026-04,84.8,11.5,Stabil,5,4,7
USE-00012-202605,SME-2024-00012,2026-05,86.6,12.2,Fluktuatif,90,1,7
USE-00012-202606,SME-2024-00012,2026-06,86.2,13.1,Stabil,19,2,8
USE-00013-202507,SME-2024-00013,2025-07,79.7,12.2,Stabil,1,0,5
USE-00013-202508,SME-2024-00013,2025-08,81.5,12.3,Fluktuatif,77,3,6
USE-00013-202509,SME-2024-00013,2025-09,80.1,11.6,Stabil,1,1,6
USE-00013-202510,SME-2024-00013,2025-10,77.8,11.1,Stabil,40,1,6
USE-00013-202511,SME-2024-00013,2025-11,77.7,11.6,Fluktuatif,31,1,6
USE-00013-202512,SME-2024-00013,2025-12,79.1,11.8,Stabil,28,3,6
USE-00013-202601,SME-2024-00013,2026-01,73.5,11.3,Stabil,12,0,6
USE-00013-202602,SME-2024-00013,2026-02,78.7,11.5,Stabil,31,0,6
USE-00013-202603,SME-2024-00013,2026-03,80.4,12.3,Stabil,57,2,6
USE-00013-202604,SME-2024-00013,2026-04,79.2,11.7,Fluktuatif,7,0,6
USE-00013-202605,SME-2024-00013,2026-05,79.5,11.6,Stabil,44,1,7
USE-00013-202606,SME-2024-00013,2026-06,76.9,12.1,Fluktuatif,17,3,6
USE-00014-202507,SME-2024-00014,2025-07,84.6,11.7,Fluktuatif,1,1,6
USE-00014-202508,SME-2024-00014,2025-08,85.0,12.9,Fluktuatif,35,0,6
USE-00014-202509,SME-2024-00014,2025-09,85.4,13.4,Stabil,9,1,7
USE-00014-202510,SME-2024-00014,2025-10,84.8,13.3,Stabil,43,1,7
USE-00014-202511,SME-2024-00014,2025-11,85.6,13.2,Stabil,47,0,7
USE-00014-202512,SME-2024-00014,2025-12,84.8,12.4,Fluktuatif,19,3,7
USE-00014-202601,SME-2024-00014,2026-01,85.8,14.1,Stabil,20,0,6
USE-00014-202602,SME-2024-00014,2026-02,89.4,13.1,Stabil,59,1,6
USE-00014-202603,SME-2024-00014,2026-03,83.5,12.3,Stabil,3,1,6
USE-00014-202604,SME-2024-00014,2026-04,85.1,12.7,Stabil,52,3,6
USE-00014-202605,SME-2024-00014,2026-05,87.3,13.3,Stabil,44,2,5
USE-00014-202606,SME-2024-00014,2026-06,85.1,12.6,Stabil,8,0,7
USE-00015-202507,SME-2024-00015,2025-07,65.1,9.0,Stabil,1,1,7
USE-00015-202508,SME-2024-00015,2025-08,66.8,10.1,Stabil,15,0,8
USE-00015-202509,SME-2024-00015,2025-09,66.9,9.9,Fluktuatif,50,1,7
USE-00015-202510,SME-2024-00015,2025-10,65.5,10.1,Stabil,9,0,7
USE-00015-202511,SME-2024-00015,2025-11,69.6,10.6,Fluktuatif,42,1,7
USE-00015-202512,SME-2024-00015,2025-12,65.5,9.6,Stabil,40,2,6
USE-00015-202601,SME-2024-00015,2026-01,66.3,9.6,Stabil,2,2,7
USE-00015-202602,SME-2024-00015,2026-02,66.4,10.1,Stabil,29,0,7
USE-00015-202603,SME-2024-00015,2026-03,68.6,10.0,Stabil,1,0,7
USE-00015-202604,SME-2024-00015,2026-04,70.4,11.5,Fluktuatif,12,1,7
USE-00015-202605,SME-2024-00015,2026-05,67.2,9.8,Fluktuatif,50,3,7
USE-00015-202606,SME-2024-00015,2026-06,68.6,10.6,Stabil,3,1,8
USE-00016-202507,SME-2024-00016,2025-07,86.0,12.8,Fluktuatif,48,0,7
USE-00016-202508,SME-2024-00016,2025-08,85.8,12.8,Stabil,88,1,7
USE-00016-202509,SME-2024-00016,2025-09,88.0,12.5,Fluktuatif,42,3,6
USE-00016-202510,SME-2024-00016,2025-10,83.9,12.3,Stabil,17,2,7
USE-00016-202511,SME-2024-00016,2025-11,86.8,12.6,Fluktuatif,56,2,7
USE-00016-202512,SME-2024-00016,2025-12,85.9,13.5,Stabil,58,3,7
USE-00016-202601,SME-2024-00016,2026-01,87.3,12.9,Stabil,81,0,7
USE-00016-202602,SME-2024-00016,2026-02,85.5,12.5,Fluktuatif,15,2,7
USE-00016-202603,SME-2024-00016,2026-03,86.2,13.4,Stabil,26,3,7
USE-00016-202604,SME-2024-00016,2026-04,86.4,13.4,Stabil,22,0,7
USE-00016-202605,SME-2024-00016,2026-05,89.7,13.0,Fluktuatif,3,0,6
USE-00016-202606,SME-2024-00016,2026-06,86.2,13.7,Stabil,0,1,6
USE-00017-202507,SME-2024-00017,2025-07,81.8,12.2,Fluktuatif,23,1,7
USE-00017-202508,SME-2024-00017,2025-08,81.2,11.2,Stabil,12,2,7
USE-00017-202509,SME-2024-00017,2025-09,80.2,12.0,Fluktuatif,8,2,7
USE-00017-202510,SME-2024-00017,2025-10,81.1,12.8,Stabil,26,0,7
USE-00017-202511,SME-2024-00017,2025-11,81.8,12.1,Fluktuatif,37,0,8
USE-00017-202512,SME-2024-00017,2025-12,78.7,12.3,Stabil,89,0,7
USE-00017-202601,SME-2024-00017,2026-01,78.6,12.2,Fluktuatif,20,3,7
USE-00017-202602,SME-2024-00017,2026-02,78.7,11.6,Stabil,15,1,7
USE-00017-202603,SME-2024-00017,2026-03,80.7,12.2,Fluktuatif,20,1,8
USE-00017-202604,SME-2024-00017,2026-04,77.8,12.0,Stabil,84,2,7
USE-00017-202605,SME-2024-00017,2026-05,79.3,11.3,Fluktuatif,104,0,7
USE-00017-202606,SME-2024-00017,2026-06,77.4,11.4,Stabil,14,0,7
USE-00018-202507,SME-2024-00018,2025-07,68.1,9.8,Stabil,1,0,8
USE-00018-202508,SME-2024-00018,2025-08,69.2,10.1,Stabil,74,1,8
USE-00018-202509,SME-2024-00018,2025-09,66.6,9.9,Stabil,16,0,7
USE-00018-202510,SME-2024-00018,2025-10,71.5,10.1,Stabil,0,0,8
USE-00018-202511,SME-2024-00018,2025-11,70.8,10.7,Fluktuatif,9,2,8
USE-00018-202512,SME-2024-00018,2025-12,67.0,10.6,Stabil,0,0,8
USE-00018-202601,SME-2024-00018,2026-01,67.0,9.8,Stabil,38,0,8
USE-00018-202602,SME-2024-00018,2026-02,67.6,9.8,Fluktuatif,18,0,7
USE-00018-202603,SME-2024-00018,2026-03,70.0,10.8,Stabil,53,1,7
USE-00018-202604,SME-2024-00018,2026-04,72.3,10.4,Stabil,40,2,7
USE-00018-202605,SME-2024-00018,2026-05,69.4,11.2,Fluktuatif,49,0,7
USE-00018-202606,SME-2024-00018,2026-06,70.3,10.2,Stabil,65,2,7
USE-00019-202507,SME-2024-00019,2025-07,71.5,12.1,Fluktuatif,5,1,5
USE-00019-202508,SME-2024-00019,2025-08,70.8,10.5,Stabil,37,0,6
USE-00019-202509,SME-2024-00019,2025-09,71.0,10.1,Fluktuatif,18,1,6
USE-00019-202510,SME-2024-00019,2025-10,69.1,10.7,Stabil,56,2,6
USE-00019-202511,SME-2024-00019,2025-11,71.1,10.4,Stabil,75,0,6
USE-00019-202512,SME-2024-00019,2025-12,72.6,10.6,Stabil,46,1,6
USE-00019-202601,SME-2024-00019,2026-01,74.0,10.8,Fluktuatif,47,1,6
USE-00019-202602,SME-2024-00019,2026-02,69.4,10.5,Stabil,46,0,6
USE-00019-202603,SME-2024-00019,2026-03,74.6,11.9,Fluktuatif,40,0,6
USE-00019-202604,SME-2024-00019,2026-04,69.5,10.4,Stabil,17,3,6
USE-00019-202605,SME-2024-00019,2026-05,70.1,10.5,Stabil,18,3,6
USE-00019-202606,SME-2024-00019,2026-06,70.5,11.2,Fluktuatif,27,1,6
USE-00020-202507,SME-2024-00020,2025-07,71.6,10.9,Stabil,25,2,5
USE-00020-202508,SME-2024-00020,2025-08,70.7,10.8,Stabil,32,1,5
USE-00020-202509,SME-2024-00020,2025-09,69.7,10.6,Stabil,12,0,5
USE-00020-202510,SME-2024-00020,2025-10,72.5,10.4,Stabil,40,1,5
USE-00020-202511,SME-2024-00020,2025-11,72.3,11.3,Stabil,28,3,6
USE-00020-202512,SME-2024-00020,2025-12,71.9,11.1,Stabil,1,2,5
USE-00020-202601,SME-2024-00020,2026-01,70.5,11.0,Stabil,15,2,5
USE-00020-202602,SME-2024-00020,2026-02,72.9,10.7,Fluktuatif,8,1,5
USE-00020-202603,SME-2024-00020,2026-03,73.5,11.4,Stabil,77,1,5
USE-00020-202604,SME-2024-00020,2026-04,70.4,10.3,Fluktuatif,9,0,5
USE-00020-202605,SME-2024-00020,2026-05,67.7,9.1,Stabil,11,1,4
USE-00020-202606,SME-2024-00020,2026-06,70.9,10.7,Stabil,24,1,5
USE-00021-202507,SME-2024-00021,2025-07,74.3,12.0,Fluktuatif,132,2,6
USE-00021-202508,SME-2024-00021,2025-08,71.5,11.3,Fluktuatif,3,1,6
USE-00021-202509,SME-2024-00021,2025-09,68.5,10.2,Stabil,2,0,5
USE-00021-202510,SME-2024-00021,2025-10,68.0,10.6,Stabil,16,0,6
USE-00021-202511,SME-2024-00021,2025-11,69.1,10.9,Stabil,106,1,5
USE-00021-202512,SME-2024-00021,2025-12,67.0,10.3,Stabil,84,0,6
USE-00021-202601,SME-2024-00021,2026-01,64.4,9.4,Stabil,5,0,6
USE-00021-202602,SME-2024-00021,2026-02,63.9,9.7,Fluktuatif,62,0,6
USE-00021-202603,SME-2024-00021,2026-03,68.8,9.8,Stabil,29,0,7
USE-00021-202604,SME-2024-00021,2026-04,62.7,9.2,Stabil,6,0,6
USE-00021-202605,SME-2024-00021,2026-05,63.5,9.8,Fluktuatif,11,1,6
USE-00021-202606,SME-2024-00021,2026-06,65.7,9.6,Stabil,15,3,6
USE-00022-202507,SME-2024-00022,2025-07,77.6,11.7,Fluktuatif,40,2,7
USE-00022-202508,SME-2024-00022,2025-08,76.4,11.6,Stabil,27,4,7
USE-00022-202509,SME-2024-00022,2025-09,74.3,11.3,Stabil,19,2,7
USE-00022-202510,SME-2024-00022,2025-10,73.2,10.4,Stabil,43,1,6
USE-00022-202511,SME-2024-00022,2025-11,78.6,12.6,Stabil,8,1,7
USE-00022-202512,SME-2024-00022,2025-12,74.6,11.3,Stabil,20,1,7
USE-00022-202601,SME-2024-00022,2026-01,78.8,11.5,Stabil,67,1,7
USE-00022-202602,SME-2024-00022,2026-02,75.0,11.9,Fluktuatif,23,3,7
USE-00022-202603,SME-2024-00022,2026-03,75.8,11.2,Fluktuatif,44,1,6
USE-00022-202604,SME-2024-00022,2026-04,72.4,11.0,Stabil,52,3,7
USE-00022-202605,SME-2024-00022,2026-05,75.7,11.4,Stabil,22,2,6
USE-00022-202606,SME-2024-00022,2026-06,71.5,10.6,Stabil,45,2,7
USE-00023-202507,SME-2024-00023,2025-07,63.3,10.1,Fluktuatif,19,2,8
USE-00023-202508,SME-2024-00023,2025-08,69.4,10.2,Stabil,16,3,9
USE-00023-202509,SME-2024-00023,2025-09,64.9,9.2,Fluktuatif,4,0,8
USE-00023-202510,SME-2024-00023,2025-10,69.8,10.5,Fluktuatif,101,0,8
USE-00023-202511,SME-2024-00023,2025-11,66.4,10.1,Stabil,12,2,8
USE-00023-202512,SME-2024-00023,2025-12,65.6,9.1,Stabil,24,2,7
USE-00023-202601,SME-2024-00023,2026-01,63.9,9.9,Stabil,6,0,9
USE-00023-202602,SME-2024-00023,2026-02,60.5,9.1,Stabil,64,0,8
USE-00023-202603,SME-2024-00023,2026-03,61.2,8.5,Stabil,19,1,8
USE-00023-202604,SME-2024-00023,2026-04,59.1,8.5,Fluktuatif,61,0,7
USE-00023-202605,SME-2024-00023,2026-05,59.6,8.5,Fluktuatif,28,2,8
USE-00023-202606,SME-2024-00023,2026-06,61.5,8.9,Stabil,2,2,8
USE-00024-202507,SME-2024-00024,2025-07,70.7,10.8,Stabil,15,1,9
USE-00024-202508,SME-2024-00024,2025-08,72.4,10.2,Stabil,44,2,9
USE-00024-202509,SME-2024-00024,2025-09,71.1,9.6,Fluktuatif,8,1,9
USE-00024-202510,SME-2024-00024,2025-10,70.9,10.5,Stabil,32,1,9
USE-00024-202511,SME-2024-00024,2025-11,71.0,11.2,Stabil,33,0,9
USE-00024-202512,SME-2024-00024,2025-12,73.0,10.9,Fluktuatif,13,0,9
USE-00024-202601,SME-2024-00024,2026-01,71.2,10.1,Fluktuatif,25,0,9
USE-00024-202602,SME-2024-00024,2026-02,69.9,10.0,Stabil,11,0,9
USE-00024-202603,SME-2024-00024,2026-03,69.7,10.4,Fluktuatif,31,2,9
USE-00024-202604,SME-2024-00024,2026-04,71.3,11.0,Fluktuatif,29,0,9
USE-00024-202605,SME-2024-00024,2026-05,68.4,10.6,Stabil,20,1,9
USE-00024-202606,SME-2024-00024,2026-06,71.4,10.2,Fluktuatif,4,2,8
USE-00025-202507,SME-2024-00025,2025-07,73.7,11.4,Stabil,45,2,9
USE-00025-202508,SME-2024-00025,2025-08,74.0,11.1,Stabil,1,3,9
USE-00025-202509,SME-2024-00025,2025-09,72.8,10.6,Stabil,7,2,9
USE-00025-202510,SME-2024-00025,2025-10,72.5,11.2,Stabil,24,1,8
USE-00025-202511,SME-2024-00025,2025-11,74.0,11.7,Fluktuatif,12,0,9
USE-00025-202512,SME-2024-00025,2025-12,69.1,10.7,Fluktuatif,2,1,8
USE-00025-202601,SME-2024-00025,2026-01,69.6,11.0,Stabil,1,0,8
USE-00025-202602,SME-2024-00025,2026-02,73.2,11.5,Stabil,100,1,8
USE-00025-202603,SME-2024-00025,2026-03,70.2,11.8,Stabil,39,5,9
USE-00025-202604,SME-2024-00025,2026-04,68.7,10.9,Stabil,26,4,8
USE-00025-202605,SME-2024-00025,2026-05,70.3,9.9,Stabil,4,2,9
USE-00025-202606,SME-2024-00025,2026-06,68.1,11.5,Stabil,17,1,9
USE-00026-202507,SME-2024-00026,2025-07,80.9,12.0,Fluktuatif,12,1,8
USE-00026-202508,SME-2024-00026,2025-08,78.9,11.9,Stabil,0,1,9
USE-00026-202509,SME-2024-00026,2025-09,81.0,12.4,Stabil,26,3,8
USE-00026-202510,SME-2024-00026,2025-10,82.7,12.4,Stabil,32,0,8
USE-00026-202511,SME-2024-00026,2025-11,77.7,10.9,Stabil,7,2,8
USE-00026-202512,SME-2024-00026,2025-12,83.9,12.5,Fluktuatif,37,0,8
USE-00026-202601,SME-2024-00026,2026-01,81.8,11.7,Fluktuatif,68,1,8
USE-00026-202602,SME-2024-00026,2026-02,82.3,12.5,Stabil,91,1,8
USE-00026-202603,SME-2024-00026,2026-03,82.0,13.2,Stabil,26,0,8
USE-00026-202604,SME-2024-00026,2026-04,82.9,12.3,Fluktuatif,8,3,8
USE-00026-202605,SME-2024-00026,2026-05,85.5,12.0,Stabil,26,0,8
USE-00026-202606,SME-2024-00026,2026-06,88.0,13.8,Stabil,22,0,9
USE-00027-202507,SME-2024-00027,2025-07,80.4,11.8,Stabil,20,1,8
USE-00027-202508,SME-2024-00027,2025-08,84.8,12.7,Stabil,24,1,8
USE-00027-202509,SME-2024-00027,2025-09,83.7,11.2,Stabil,7,1,8
USE-00027-202510,SME-2024-00027,2025-10,83.0,13.5,Fluktuatif,29,0,8
USE-00027-202511,SME-2024-00027,2025-11,81.6,12.4,Fluktuatif,9,0,8
USE-00027-202512,SME-2024-00027,2025-12,84.1,12.7,Stabil,14,1,8
USE-00027-202601,SME-2024-00027,2026-01,84.5,12.3,Stabil,1,0,8
USE-00027-202602,SME-2024-00027,2026-02,83.5,12.5,Stabil,60,0,8
USE-00027-202603,SME-2024-00027,2026-03,83.9,12.9,Stabil,15,1,8
USE-00027-202604,SME-2024-00027,2026-04,84.3,11.6,Fluktuatif,20,1,7
USE-00027-202605,SME-2024-00027,2026-05,83.1,13.1,Stabil,22,1,9
USE-00027-202606,SME-2024-00027,2026-06,84.8,13.0,Fluktuatif,75,1,8
