payment_id,customer_id,invoice_period,invoice_amount,payment_date,due_date,days_overdue,payment_method,partial_payment_flag
PAY-00004-202510,SME-2024-00004,2025-10,1544655,2025-10-15,2025-10-15,0,Bank Transfer,False
PAY-00004-202511,SME-2024-00004,2025-11,1600753,2025-11-17,2025-11-15,2,Cash,True
PAY-00004-202512,SME-2024-00004,2025-12,1586573,2025-12-16,2025-12-15,1,Bank Transfer,False
PAY-00004-202601,SME-2024-00004,2026-01,1589227,2026-01-15,2026-01-15,0,Virtual Account,False
PAY-00004-202602,SME-2024-00004,2026-02,1554740,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00004-202603,SME-2024-00004,2026-03,1588058,2026-03-16,2026-03-15,1,Auto-debit,False
PAY-00004-202604,SME-2024-00004,2026-04,1555160,2026-04-17,2026-04-15,2,Bank Transfer,False
PAY-00004-202605,SME-2024-00004,2026-05,1611619,2026-05-15,2026-05-15,0,Virtual Account,False
PAY-00004-202606,SME-2024-00004,2026-06,1575323,2026-06-15,2026-06-15,0,Bank Transfer,False
PAY-00005-202507,SME-2024-00005,2025-07,4272422,2025-07-15,2025-07-15,0,Bank Transfer,False
PAY-00005-202508,SME-2024-00005,2025-08,4192427,2025-08-16,2025-08-15,1,Virtual Account,False
PAY-00005-202509,SME-2024-00005,2025-09,4225656,2025-09-15,2025-09-15,0,Bank Transfer,False
PAY-00005-202510,SME-2024-00005,2025-10,4093128,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00005-202511,SME-2024-00005,2025-11,4132875,2025-11-16,2025-11-15,1,Auto-debit,False
PAY-00005-202512,SME-2024-00005,2025-12,4127245,2025-12-15,2025-12-15,0,Cash,False
PAY-00005-202601,SME-2024-00005,2026-01,4150973,2026-01-15,2026-01-15,0,Auto-debit,False
PAY-00005-202602,SME-2024-00005,2026-02,4128370,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00005-202603,SME-2024-00005,2026-03,4231635,2026-03-16,2026-03-15,1,Virtual Account,False
PAY-00005-202604,SME-2024-00005,2026-04,4137420,2026-04-15,2026-04-15,0,Virtual Account,False
PAY-00005-202605,SME-2024-00005,2026-05,4207271,2026-05-15,2026-05-15,0,Virtual Account,False
PAY-00005-202606,SME-2024-00005,2026-06,4058477,2026-06-16,2026-06-15,1,Auto-debit,False
PAY-00006-202507,SME-2024-00006,2025-07,1589926,2025-07-16,2025-07-15,1,Auto-debit,False
PAY-00006-202508,SME-2024-00006,2025-08,1566843,2025-08-18,2025-08-15,3,Virtual Account,False
PAY-00006-202509,SME-2024-00006,2025-09,1590373,2025-09-16,2025-09-15,1,Bank Transfer,False
PAY-00006-202510,SME-2024-00006,2025-10,1591460,2025-10-16,2025-10-15,1,Virtual Account,False
PAY-00006-202511,SME-2024-00006,2025-11,1606646,2025-11-18,2025-11-15,3,Virtual Account,False
PAY-00006-202512,SME-2024-00006,2025-12,1594767,2025-12-16,2025-12-15,1,Virtual Account,False
PAY-00006-202601,SME-2024-00006,2026-01,1591264,2026-01-15,2026-01-15,0,Virtual Account,False
PAY-00006-202602,SME-2024-00006,2026-02,1607067,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00006-202603,SME-2024-00006,2026-03,1603158,2026-03-15,2026-03-15,0,Bank Transfer,False
PAY-00006-202604,SME-2024-00006,2026-04,1624094,2026-04-16,2026-04-15,1,Bank Transfer,False
PAY-00006-202605,SME-2024-00006,2026-05,1595904,2026-05-16,2026-05-15,1,Bank Transfer,False
PAY-00006-202606,SME-2024-00006,2026-06,1558173,2026-06-15,2026-06-15,0,Auto-debit,False
PAY-00007-202507,SME-2024-00007,2025-07,4727185,2025-07-15,2025-07-15,0,Bank Transfer,False
PAY-00007-202508,SME-2024-00007,2025-08,4819543,2025-08-15,2025-08-15,0,Auto-debit,False
PAY-00007-202509,SME-2024-00007,2025-09,4852602,2025-09-16,2025-09-15,1,Auto-debit,False
PAY-00007-202510,SME-2024-00007,2025-10,4878435,2025-10-16,2025-10-15,1,Auto-debit,False
PAY-00007-202511,SME-2024-00007,2025-11,4670927,2025-11-17,2025-11-15,2,Bank Transfer,False
PAY-00007-202512,SME-2024-00007,2025-12,4898194,2025-12-15,2025-12-15,0,Virtual Account,False
PAY-00007-202601,SME-2024-00007,2026-01,4640752,2026-01-17,2026-01-15,2,Bank Transfer,False
PAY-00007-202602,SME-2024-00007,2026-02,4771801,2026-02-16,2026-02-15,1,Bank Transfer,False
PAY-00007-202603,SME-2024-00007,2026-03,4754784,2026-03-15,2026-03-15,0,Virtual Account,False
PAY-00007-202604,SME-2024-00007,2026-04,4687485,2026-04-16,2026-04-15,1,Auto-debit,False
PAY-00007-202605,SME-2024-00007,2026-05,4706375,2026-05-15,2026-05-15,0,Cash,False
PAY-00007-202606,SME-2024-00007,2026-06,4727849,2026-06-16,2026-06-15,1,Virtual Account,False
PAY-00008-202601,SME-2024-00008,2026-01,1015451,2026-01-16,2026-01-15,1,Virtual Account,False
PAY-00008-202602,SME-2024-00008,2026-02,1013952,2026-02-15,2026-02-15,0,Virtual Account,False
PAY-00008-202603,SME-2024-00008,2026-03,968087,2026-03-15,2026-03-15,0,Auto-debit,False
PAY-00008-202604,SME-2024-00008,2026-04,979722,2026-04-16,2026-04-15,1,Virtual Account,False
PAY-00008-202605,SME-2024-00008,2026-05,974279,2026-05-16,2026-05-15,1,Auto-debit,False
PAY-00008-202606,SME-2024-00008,2026-06,987029,2026-06-16,2026-06-15,1,Auto-debit,False
PAY-00009-202512,SME-2024-00009,2025-12,2657809,2025-12-15,2025-12-15,0,Virtual Account,False
PAY-00009-202601,SME-2024-00009,2026-01,2687206,2026-01-16,2026-01-15,1,Auto-debit,False
PAY-00009-202602,SME-2024-00009,2026-02,2723887,2026-02-16,2026-02-15,1,Bank Transfer,False
PAY-00009-202603,SME-2024-00009,2026-03,3802069,2026-03-15,2026-03-15,0,Virtual Account,False
PAY-00009-202604,SME-2024-00009,2026-04,3769923,2026-04-15,2026-04-15,0,Virtual Account,False
PAY-00009-202605,SME-2024-00009,2026-05,3768683,2026-05-16,2026-05-15,1,Virtual Account,False
PAY-00009-202606,SME-2024-00009,2026-06,3814084,2026-06-16,2026-06-15,1,Auto-debit,False
PAY-00010-202507,SME-2024-00010,2025-07,840740,2025-07-15,2025-07-15,0,Auto-debit,False
PAY-00010-202508,SME-2024-00010,2025-08,874234,2025-08-15,2025-08-15,0,Auto-debit,False
PAY-00010-202509,SME-2024-00010,2025-09,859367,2025-09-15,2025-09-15,0,Virtual Account,False
PAY-00010-202510,SME-2024-00010,2025-10,871079,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00010-202511,SME-2024-00010,2025-11,842336,2025-11-16,2025-11-15,1,Bank Transfer,False
PAY-00010-202512,SME-2024-00010,2025-12,856092,2025-12-16,2025-12-15,1,Auto-debit,False
PAY-00010-202601,SME-2024-00010,2026-01,837660,2026-01-15,2026-01-15,0,Bank Transfer,False
PAY-00010-202602,SME-2024-00010,2026-02,866647,2026-02-15,2026-02-15,0,Cash,False
PAY-00010-202603,SME-2024-00010,2026-03,846652,2026-03-17,2026-03-15,2,Bank Transfer,False
PAY-00010-202604,SME-2024-00010,2026-04,855921,2026-04-16,2026-04-15,1,Virtual Account,False
PAY-00010-202605,SME-2024-00010,2026-05,870790,2026-05-15,2026-05-15,0,Virtual Account,False
PAY-00010-202606,SME-2024-00010,2026-06,856035,2026-06-16,2026-06-15,1,Cash,False
PAY-00011-202507,SME-2024-00011,2025-07,903172,2025-07-16,2025-07-15,1,Bank Transfer,False
PAY-00011-202508,SME-2024-00011,2025-08,944866,2025-08-15,2025-08-15,0,Bank Transfer,False
PAY-00011-202509,SME-2024-00011,2025-09,919942,2025-09-16,2025-09-15,1,Virtual Account,False
PAY-00011-202510,SME-2024-00011,2025-10,901257,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00011-202511,SME-2024-00011,2025-11,897272,2025-11-15,2025-11-15,0,Virtual Account,False
PAY-00011-202512,SME-2024-00011,2025-12,935996,2025-12-16,2025-12-15,1,Auto-debit,False
PAY-00011-202601,SME-2024-00011,2026-01,945901,2026-01-18,2026-01-15,3,Virtual Account,False
PAY-00011-202602,SME-2024-00011,2026-02,905555,2026-02-15,2026-02-15,0,Virtual Account,False
PAY-00011-202603,SME-2024-00011,2026-03,922931,2026-03-16,2026-03-15,1,Auto-debit,False
PAY-00011-202604,SME-2024-00011,2026-04,923706,2026-04-17,2026-04-15,2,Bank Transfer,False
PAY-00011-202605,SME-2024-00011,2026-05,932525,2026-05-15,2026-05-15,0,Cash,False
PAY-00011-202606,SME-2024-00011,2026-06,918487,2026-06-16,2026-06-15,1,Auto-debit,True
PAY-00012-202510,SME-2024-00012,2025-10,2198598,2025-10-15,2025-10-15,0,Bank Transfer,False
PAY-00012-202511,SME-2024-00012,2025-11,2271441,2025-11-16,2025-11-15,1,Bank Transfer,False
PAY-00012-202512,SME-2024-00012,2025-12,2271034,2025-12-16,2025-12-15,1,Virtual Account,False
PAY-00012-202601,SME-2024-00012,2026-01,2215428,2026-01-15,2026-01-15,0,Virtual Account,False
PAY-00012-202602,SME-2024-00012,2026-02,2292390,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00012-202603,SME-2024-00012,2026-03,2303379,2026-03-16,2026-03-15,1,Bank Transfer,False
PAY-00012-202604,SME-2024-00012,2026-04,2227530,2026-04-17,2026-04-15,2,Bank Transfer,False
PAY-00012-202605,SME-2024-00012,2026-05,2263263,2026-05-18,2026-05-15,3,Virtual Account,False
PAY-00012-202606,SME-2024-00012,2026-06,2295394,2026-06-16,2026-06-15,1,Virtual Account,False
PAY-00013-202507,SME-2024-00013,2025-07,1154153,2025-07-15,2025-07-15,0,Virtual Account,False
PAY-00013-202508,SME-2024-00013,2025-08,1149152,2025-08-15,2025-08-15,0,Virtual Account,False
PAY-00013-202509,SME-2024-00013,2025-09,1104137,2025-09-15,2025-09-15,0,Virtual Account,False
PAY-00013-202510,SME-2024-00013,2025-10,1112065,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00013-202511,SME-2024-00013,2025-11,1119295,2025-11-15,2025-11-15,0,Bank Transfer,False
PAY-00013-202512,SME-2024-00013,2025-12,1145012,2025-12-16,2025-12-15,1,Virtual Account,True
PAY-00013-202601,SME-2024-00013,2026-01,1160285,2026-01-16,2026-01-15,1,Bank Transfer,False
PAY-00013-202602,SME-2024-00013,2026-02,1139971,2026-02-15,2026-02-15,0,Virtual Account,False
PAY-00013-202603,SME-2024-00013,2026-03,1107359,2026-03-15,2026-03-15,0,Bank Transfer,False
PAY-00013-202604,SME-2024-00013,2026-04,1158470,2026-04-15,2026-04-15,0,Cash,False
PAY-00013-202605,SME-2024-00013,2026-05,1116987,2026-05-17,2026-05-15,2,Cash,False
PAY-00013-202606,SME-2024-00013,2026-06,1135397,2026-06-15,2026-06-15,0,Bank Transfer,False
PAY-00014-202507,SME-2024-00014,2025-07,2223021,2025-07-15,2025-07-15,0,Virtual Account,False
PAY-00014-202508,SME-2024-00014,2025-08,2154314,2025-08-15,2025-08-15,0,Bank Transfer,False
PAY-00014-202509,SME-2024-00014,2025-09,2112879,2025-09-17,2025-09-15,2,Virtual Account,False
PAY-00014-202510,SME-2024-00014,2025-10,2165373,2025-10-16,2025-10-15,1,Cash,False
PAY-00014-202511,SME-2024-00014,2025-11,2185379,2025-11-17,2025-11-15,2,Virtual Account,False
PAY-00014-202512,SME-2024-00014,2025-12,2226146,2025-12-15,2025-12-15,0,Cash,False
PAY-00014-202601,SME-2024-00014,2026-01,2121808,2026-01-17,2026-01-15,2,Bank Transfer,False
PAY-00014-202602,SME-2024-00014,2026-02,2129807,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00014-202603,SME-2024-00014,2026-03,2152912,2026-03-15,2026-03-15,0,Virtual Account,False
PAY-00014-202604,SME-2024-00014,2026-04,2128654,2026-04-17,2026-04-15,2,Virtual Account,False
PAY-00014-202605,SME-2024-00014,2026-05,2162784,2026-05-15,2026-05-15,0,Virtual Account,False
PAY-00014-202606,SME-2024-00014,2026-06,10734831,2026-06-15,2026-06-15,0,Cash,False
PAY-00015-202507,SME-2024-00015,2025-07,8344003,2025-07-16,2025-07-15,1,Bank Transfer,False
PAY-00015-202508,SME-2024-00015,2025-08,8566409,2025-08-16,2025-08-15,1,Virtual Account,False
PAY-00015-202509,SME-2024-00015,2025-09,8476237,2025-09-15,2025-09-15,0,Virtual Account,False
PAY-00015-202510,SME-2024-00015,2025-10,8579685,2025-10-16,2025-10-15,1,Virtual Account,False
PAY-00015-202511,SME-2024-00015,2025-11,8647582,2025-11-15,2025-11-15,0,Virtual Account,False
PAY-00015-202512,SME-2024-00015,2025-12,8558628,2025-12-17,2025-12-15,2,Auto-debit,False
PAY-00015-202601,SME-2024-00015,2026-01,8413545,2026-01-16,2026-01-15,1,Bank Transfer,True
PAY-00015-202602,SME-2024-00015,2026-02,8555013,2026-02-15,2026-02-15,0,Bank Transfer,False
PAY-00015-202603,SME-2024-00015,2026-03,8493783,2026-03-16,2026-03-15,1,Auto-debit,False
PAY-00015-202604,SME-2024-00015,2026-04,8711643,2026-04-16,2026-04-15,1,Virtual Account,True
PAY-00015-202605,SME-2024-00015,2026-05,8348331,2026-05-16,2026-05-15,1,Virtual Account,False
PAY-00015-202606,SME-2024-00015,2026-06,8691860,2026-06-15,2026-06-15,0,Cash,False
PAY-00016-202507,SME-2024-00016,2025-07,2798242,2025-07-16,2025-07-15,1,Auto-debit,False
PAY-00016-202508,SME-2024-00016,2025-08,2804396,2025-08-16,2025-08-15,1,Auto-debit,False
PAY-00016-202509,SME-2024-00016,2025-09,2726164,2025-09-15,2025-09-15,0,Bank Transfer,False
PAY-00016-202510,SME-2024-00016,2025-10,2816412,2025-10-17,2025-10-15,2,Cash,False
PAY-00016-202511,SME-2024-00016,2025-11,2749849,2025-11-15,2025-11-15,0,Auto-debit,False
PAY-00016-202512,SME-2024-00016,2025-12,2843872,2025-12-15,2025-12-15,0,Cash,False
PAY-00016-202601,SME-2024-00016,2026-01,4228123,2026-01-15,2026-01-15,0,Bank Transfer,False
PAY-00016-202602,SME-2024-00016,2026-02,4114797,2026-02-18,2026-02-15,3,Auto-debit,False
PAY-00016-202603,SME-2024-00016,2026-03,4178474,2026-03-16,2026-03-15,1,Bank Transfer,False
PAY-00016-202604,SME-2024-00016,2026-04,4142283,2026-04-15,2026-04-15,0,Cash,False
PAY-00016-202605,SME-2024-00016,2026-05,4124086,2026-05-15,2026-05-15,0,Bank Transfer,False
PAY-00016-202606,SME-2024-00016,2026-06,4240787,2026-06-16,2026-06-15,1,Bank Transfer,False
PAY-00017-202507,SME-2024-00017,2025-07,1422032,2025-07-15,2025-07-15,0,Virtual Account,False
PAY-00017-202508,SME-2024-00017,2025-08,1396342,2025-08-15,2025-08-15,0,Cash,False
PAY-00017-202509,SME-2024-00017,2025-09,1427403,2025-09-16,2025-09-15,1,Virtual Account,False
PAY-00017-202510,SME-2024-00017,2025-10,1437675,2025-10-15,2025-10-15,0,Auto-debit,False
PAY-00017-202511,SME-2024-00017,2025-11,1430123,2025-11-17,2025-11-15,2,Virtual Account,False
PAY-00017-202512,SME-2024-00017,2025-12,1458954,2025-12-15,2025-12-15,0,Bank Transfer,True
PAY-00017-202601,SME-2024-00017,2026-01,1398810,2026-01-16,2026-01-15,1,Virtual Account,False
PAY-00017-202602,SME-2024-00017,2026-02,1442837,2026-02-16,2026-02-15,1,Auto-debit,False
PAY-00017-202603,SME-2024-00017,2026-03,1458923,2026-03-16,2026-03-15,1,Auto-debit,False
PAY-00017-202604,SME-2024-00017,2026-04,1463741,2026-04-17,2026-04-15,2,Bank Transfer,False
PAY-00017-202605,SME-2024-00017,2026-05,1461842,2026-05-17,2026-05-15,2,Bank Transfer,False
PAY-00017-202606,SME-2024-00017,2026-06,1460832,2026-06-15,2026-06-15,0,Virtual Account,False
PAY-00018-202507,SME-2024-00018,2025-07,1970721,2025-07-16,2025-07-15,1,Virtual Account,False
PAY-00018-202508,SME-2024-00018,2025-08,1902537,2025-08-16,2025-08-15,1,Bank Transfer,False
PAY-00018-202509,SME-2024-00018,2025-09,1936598,2025-09-15,2025-09-15,0,Auto-debit,False
PAY-00018-202510,SME-2024-00018,2025-10,1960032,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00018-202511,SME-2024-00018,2025-11,1903930,2025-11-17,2025-11-15,2,Cash,False
PAY-00018-202512,SME-2024-00018,2025-12,1921879,2025-12-15,2025-12-15,0,Bank Transfer,False
PAY-00018-202601,SME-2024-00018,2026-01,1979370,2026-01-15,2026-01-15,0,Auto-debit,False
PAY-00018-202602,SME-2024-00018,2026-02,1930899,2026-02-16,2026-02-15,1,Bank Transfer,False
PAY-00018-202603,SME-2024-00018,2026-03,1986368,2026-03-15,2026-03-15,0,Virtual Account,False
PAY-00018-202604,SME-2024-00018,2026-04,1880994,2026-04-15,2026-04-15,0,Bank Transfer,False
PAY-00018-202605,SME-2024-00018,2026-05,1934153,2026-05-15,2026-05-15,0,Virtual Account,False
PAY-00018-202606,SME-2024-00018,2026-06,1873120,2026-06-17,2026-06-15,2,Bank Transfer,False
PAY-00019-202507,SME-2024-00019,2025-07,2015552,2025-07-16,2025-07-15,1,Bank Transfer,False
PAY-00019-202508,SME-2024-00019,2025-08,1990304,2025-08-16,2025-08-15,1,Virtual Account,False
PAY-00019-202509,SME-2024-00019,2025-09,1939995,2025-09-15,2025-09-15,0,Auto-debit,False
PAY-00019-202510,SME-2024-00019,2025-10,2032294,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00019-202511,SME-2024-00019,2025-11,2044937,2025-11-15,2025-11-15,0,Bank Transfer,False
PAY-00019-202512,SME-2024-00019,2025-12,1967859,2025-12-17,2025-12-15,2,Bank Transfer,False
PAY-00019-202601,SME-2024-00019,2026-01,2003904,2026-01-19,2026-01-15,4,Virtual Account,False
PAY-00019-202602,SME-2024-00019,2026-02,1933690,2026-02-17,2026-02-15,2,Bank Transfer,False
PAY-00019-202603,SME-2024-00019,2026-03,2039101,2026-03-16,2026-03-15,1,Virtual Account,False
PAY-00019-202604,SME-2024-00019,2026-04,1966525,2026-04-15,2026-04-15,0,Bank Transfer,False
PAY-00019-202605,SME-2024-00019,2026-05,1957421,2026-05-15,2026-05-15,0,Auto-debit,False
PAY-00019-202606,SME-2024-00019,2026-06,1937921,2026-06-19,2026-06-15,4,Virtual Account,False
PAY-00020-202507,SME-2024-00020,2025-07,1224090,2025-07-16,2025-07-15,1,Virtual Account,False
PAY-00020-202508,SME-2024-00020,2025-08,1223811,2025-08-16,2025-08-15,1,Bank Transfer,False
PAY-00020-202509,SME-2024-00020,2025-09,1244905,2025-09-17,2025-09-15,2,Bank Transfer,False
PAY-00020-202510,SME-2024-00020,2025-10,1252936,2025-10-15,2025-10-15,0,Bank Transfer,False
PAY-00020-202511,SME-2024-00020,2025-11,1188584,2025-11-16,2025-11-15,1,Auto-debit,False
PAY-00020-202512,SME-2024-00020,2025-12,1215916,2025-12-16,2025-12-15,1,Virtual Account,False
PAY-00020-202601,SME-2024-00020,2026-01,1198024,2026-01-17,2026-01-15,2,Auto-debit,False
PAY-00020-202602,SME-2024-00020,2026-02,1254809,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00020-202603,SME-2024-00020,2026-03,1237328,2026-03-16,2026-03-15,1,Bank Transfer,False
PAY-00020-202604,SME-2024-00020,2026-04,1204559,2026-04-15,2026-04-15,0,Bank Transfer,False
PAY-00020-202605,SME-2024-00020,2026-05,1224000,2026-05-15,2026-05-15,0,Auto-debit,False
PAY-00020-202606,SME-2024-00020,2026-06,1245781,2026-06-15,2026-06-15,0,Virtual Account,False
PAY-00021-202511,SME-2024-00021,2025-11,831846,2025-11-17,2025-11-15,2,Virtual Account,False
PAY-00021-202512,SME-2024-00021,2025-12,849281,2025-12-15,2025-12-15,0,Virtual Account,False
PAY-00021-202601,SME-2024-00021,2026-01,823625,2026-01-15,2026-01-15,0,Virtual Account,False
PAY-00021-202602,SME-2024-00021,2026-02,6079091,2026-02-20,2026-02-15,5,Virtual Account,True
PAY-00021-202603,SME-2024-00021,2026-03,6139281,2026-03-15,2026-03-15,0,Bank Transfer,False
PAY-00021-202604,SME-2024-00021,2026-04,6017879,2026-04-15,2026-04-15,0,Auto-debit,False
PAY-00021-202605,SME-2024-00021,2026-05,6014329,2026-05-15,2026-05-15,0,Auto-debit,False
PAY-00021-202606,SME-2024-00021,2026-06,6294067,2026-06-16,2026-06-15,1,Bank Transfer,False
PAY-00022-202507,SME-2024-00022,2025-07,1446984,2025-07-15,2025-07-15,0,Bank Transfer,False
PAY-00022-202508,SME-2024-00022,2025-08,1425131,2025-08-16,2025-08-15,1,Virtual Account,False
PAY-00022-202509,SME-2024-00022,2025-09,1399366,2025-09-15,2025-09-15,0,Bank Transfer,False
PAY-00022-202510,SME-2024-00022,2025-10,1405138,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00022-202511,SME-2024-00022,2025-11,1421347,2025-11-16,2025-11-15,1,Cash,False
PAY-00022-202512,SME-2024-00022,2025-12,1400594,2025-12-15,2025-12-15,0,Virtual Account,False
PAY-00022-202601,SME-2024-00022,2026-01,1423849,2026-01-17,2026-01-15,2,Auto-debit,False
PAY-00022-202602,SME-2024-00022,2026-02,1392832,2026-02-17,2026-02-15,2,Virtual Account,False
PAY-00022-202603,SME-2024-00022,2026-03,1389349,2026-03-17,2026-03-15,2,Auto-debit,False
PAY-00022-202604,SME-2024-00022,2026-04,1449474,2026-04-16,2026-04-15,1,Virtual Account,False
PAY-00022-202605,SME-2024-00022,2026-05,1405687,2026-05-16,2026-05-15,1,Bank Transfer,False
PAY-00022-202606,SME-2024-00022,2026-06,1401245,2026-06-16,2026-06-15,1,Auto-debit,False
PAY-00023-202507,SME-2024-00023,2025-07,2419857,2025-07-15,2025-07-15,0,Virtual Account,False
PAY-00023-202508,SME-2024-00023,2025-08,2479435,2025-08-15,2025-08-15,0,Virtual Account,False
PAY-00023-202509,SME-2024-00023,2025-09,2518695,2025-09-15,2025-09-15,0,Auto-debit,False
PAY-00023-202510,SME-2024-00023,2025-10,2529655,2025-10-15,2025-10-15,0,Virtual Account,False
PAY-00023-202511,SME-2024-00023,2025-11,2475808,2025-11-16,2025-11-15,1,Bank Transfer,False
PAY-00023-202512,SME-2024-00023,2025-12,2435566,2025-12-16,2025-12-15,1,Bank Transfer,False
PAY-00023-202601,SME-2024-00023,2026-01,2455455,2026-01-16,2026-01-15,1,Virtual Account,False
PAY-00023-202602,SME-2024-00023,2026-02,2395702,2026-02-16,2026-02-15,1,Virtual Account,False
PAY-00023-202603,SME-2024-00023,2026-03,2383860,2026-03-16,2026-03-15,1,Cash,False
PAY-00023-202604,SME-2024-00023,2026-04,2487126,2026-04-17,2026-04-15,2,Virtual Account,False
PAY-00023-202605,SME-2024-00023,2026-05,2461774,2026-05-17,2026-05-15,2,Bank Transfer,False
PAY-00023-202606,SME-2024-00023,2026-06,2464913,2026-06-15,2026-06-15,0,Virtual Account,False
PAY-00024-202507,SME-2024-00024,2025-07,6661424,2025-07-16,2025-07-15,1,Cash,False
PAY-00024-202508,SME-2024-00024,2025-08,6423843,2025-08-15,2025-08-15,0,Auto-debit,False
PAY-00024-202509,SME-2024-00024,2025-09,6451886,2025-09-16,2025-09-15,1,Virtual Account,False
PAY-00024-202510,SME-2024-00024,2025-10,6467485,2025-10-18,2025-10-15,3,Virtual Account,False
