interaction_id,customer_id,interaction_date,channel,category,sentiment,resolution_status,response_time_minutes,follow_up_required
INT-00014-0032,SME-2024-00014,2025-07-11 16:25:00,Phone,Technical,Negatif,Closed-no-solution,75,False
INT-00015-0033,SME-2024-00015,2025-07-14 14:24:00,Phone,Technical,Positif,Escalated,5,True
INT-00016-0034,SME-2024-00016,2025-12-13 13:51:00,Email,Billing,Positif,Pending,40,True
INT-00017-0035,SME-2024-00017,2026-06-05 15:18:00,Email,Billing,Positif,Pending,44,True
INT-00017-0036,SME-2024-00017,2026-03-20 10:17:00,Live Chat,General,Negatif,Escalated,39,True
INT-00017-0037,SME-2024-00017,2025-08-02 15:49:00,WhatsApp,General,Positif,Resolved,15,False
INT-00017-0038,SME-2024-00017,2026-02-19 08:01:00,WhatsApp,Technical,Netral,Resolved,23,False
INT-00017-0039,SME-2024-00017,2026-01-03 11:26:00,Live Chat,Technical,Positif,Resolved,5,False
INT-00018-0040,SME-2024-00018,2025-08-09 17:11:00,Portal,Billing,Positif,Resolved,41,False
INT-00020-0041,SME-2024-00020,2025-08-10 10:54:00,Portal,Billing,Positif,Resolved,25,False
INT-00020-0042,SME-2024-00020,2025-08-03 09:42:00,Live Chat,Billing,Negatif,Pending,63,True
INT-00020-0043,SME-2024-00020,2025-09-08 08:19:00,Live Chat,Technical,Netral,Resolved,9,False
INT-00020-0044,SME-2024-00020,2026-06-16 11:16:00,WhatsApp,General,Netral,Resolved,27,False
INT-00020-0045,SME-2024-00020,2026-06-07 11:53:00,WhatsApp,General,Positif,Resolved,32,False
INT-00020-0046,SME-2024-00020,2026-05-25 10:40:00,Phone,Billing,Positif,Escalated,24,True
INT-00022-0047,SME-2024-00022,2026-06-22 17:42:00,WhatsApp,Technical,Positif,Resolved,27,False
INT-00022-0048,SME-2024-00022,2025-12-23 10:18:00,WhatsApp,Billing,Positif,Resolved,46,False
INT-00022-0049,SME-2024-00022,2025-12-05 13:26:00,WhatsApp,Technical,Netral,Pending,23,True
INT-00022-0050,SME-2024-00022,2025-12-03 12:40:00,Email,General,Positif,Resolved,5,False
INT-00022-0051,SME-2024-00022,2026-02-13 12:59:00,Live Chat,Technical,Positif,Pending,22,True
INT-00022-0052,SME-2024-00022,2025-08-24 14:20:00,Phone,Billing,Positif,Resolved,39,False
INT-00024-0053,SME-2024-00024,2025-11-05 15:23:00,WhatsApp,Technical,Netral,Resolved,47,False
INT-00024-0054,SME-2024-00024,2026-03-14 15:19:00,WhatsApp,Technical,Netral,Resolved,23,False
INT-00024-0055,SME-2024-00024,2026-06-25 13:57:00,Phone,Upgrade,Positif,Resolved,19,False
INT-00024-0056,SME-2024-00024,2025-12-10 11:52:00,Portal,Technical,Netral,Pending,5,True
INT-00026-0057,SME-2024-00026,2026-02-09 14:50:00,Email,Billing,Netral,Pending,5,True
INT-00026-0058,SME-2024-00026,2025-09-04 13:05:00,Email,Billing,Positif,Resolved,52,False
INT-00027-0059,SME-2024-00027,2026-03-27 15:03:00,Live Chat,Technical,Positif,Resolved,5,False
INT-00027-0060,SME-2024-00027,2025-09-14 11:32:00,WhatsApp,Technical,Positif,Escalated,33,True
INT-00028-0061,SME-2024-00028,2025-12-18 13:30:00,Phone,Billing,Positif,Resolved,29,False
INT-00029-0062,SME-2024-00029,2026-01-09 10:08:00,WhatsApp,General,Netral,Pending,24,True
INT-00029-0063,SME-2024-00029,2026-06-06 10:26:00,WhatsApp,Technical,Negatif,Pending,73,True
INT-00029-0064,SME-2024-00029,2026-06-14 08:45:00,Email,Technical,Netral,Resolved,34,False
INT-00030-0065,SME-2024-00030,2025-08-24 11:33:00,Portal,General,Positif,Resolved,53,False
INT-00031-0066,SME-2024-00031,2026-06-18 11:37:00,WhatsApp,Billing,Positif,Resolved,25,False
INT-00032-0067,SME-2024-00032,2026-04-14 09:48:00,WhatsApp,Billing,Netral,Resolved,46,False
INT-00033-0068,SME-2024-00033,2026-04-18 16:40:00,Phone,Billing,Netral,Resolved,15,False
INT-00034-0069,SME-2024-00034,2025-09-27 14:23:00,WhatsApp,General,Negatif,Pending,69,True
INT-00035-0070,SME-2024-00035,2025-12-19 17:54:00,Phone,Upgrade,Netral,Resolved,14,False
INT-00036-0071,SME-2024-00036,2025-09-01 17:26:00,WhatsApp,Billing,Netral,Resolved,21,False
INT-00036-0072,SME-2024-00036,2026-04-26 17:16:00,Email,Technical,Netral,Resolved,29,False
INT-00037-0073,SME-2024-00037,2025-07-18 13:08:00,Phone,Billing,Negatif,Resolved,54,False
INT-00037-0074,SME-2024-00037,2026-05-27 12:39:00,WhatsApp,Upgrade,Netral,Resolved,5,False
INT-00037-0075,SME-2024-00037,2026-05-21 09:38:00,Email,Technical,Netral,Resolved,32,False
INT-00037-0076,SME-2024-00037,2026-03-24 14:40:00,WhatsApp,General,Positif,Resolved,67,False
INT-00037-0077,SME-2024-00037,2026-03-17 14:31:00,WhatsApp,General,Netral,Resolved,5,False
INT-00038-0078,SME-2024-00038,2025-10-05 13:56:00,Live Chat,General,Netral,Resolved,18,False
INT-00038-0079,SME-2024-00038,2025-11-24 15:31:00,Portal,Upgrade,Positif,Resolved,31,False
INT-00038-0080,SME-2024-00038,2025-09-03 10:12:00,Email,Upgrade,Positif,Resolved,27,False
INT-00040-0081,SME-2024-00040,2025-11-15 12:10:00,Live Chat,Billing,Positif,Resolved,5,False
INT-00040-0082,SME-2024-00040,2025-11-10 10:35:00,WhatsApp,Technical,Netral,Resolved,17,False
INT-00040-0083,SME-2024-00040,2026-02-18 16:48:00,Live Chat,General,Netral,Pending,32,True
INT-00040-0084,SME-2024-00040,2026-05-24 08:17:00,Portal,General,Netral,Escalated,39,True
INT-00041-0085,SME-2024-00041,2025-11-27 16:26:00,Email,Technical,Positif,Resolved,20,False
INT-00041-0086,SME-2024-00041,2026-02-05 12:14:00,Email,General,Positif,Resolved,5,False
INT-00041-0087,SME-2024-00041,2026-02-25 08:16:00,Live Chat,Technical,Positif,Resolved,51,False
INT-00041-0088,SME-2024-00041,2025-08-10 12:11:00,Email,Upgrade,Positif,Resolved,33,False
INT-00042-0089,SME-2024-00042,2025-12-03 16:33:00,WhatsApp,General,Positif,Resolved,35,False
INT-00042-0090,SME-2024-00042,2026-02-22 10:15:00,Email,Technical,Negatif,Pending,58,True
INT-00045-0091,SME-2024-00045,2025-07-13 16:49:00,WhatsApp,General,Positif,Resolved,24,False
INT-00046-0092,SME-2024-00046,2026-04-27 11:32:00,WhatsApp,Technical,Negatif,Closed-no-solution,50,False
INT-00046-0093,SME-2024-00046,2025-12-13 11:04:00,Phone,Technical,Netral,Resolved,51,False
INT-00046-0094,SME-2024-00046,2025-07-12 13:53:00,Live Chat,Technical,Positif,Pending,60,True
INT-00046-0095,SME-2024-00046,2025-07-11 14:29:00,Live Chat,Technical,Netral,Resolved,40,False
INT-00046-0096,SME-2024-00046,2025-10-21 09:48:00,Phone,Billing,Positif,Pending,33,True
INT-00046-0097,SME-2024-00046,2026-02-18 15:00:00,Email,General,Netral,Escalated,43,True
INT-00047-0098,SME-2024-00047,2026-03-19 11:03:00,WhatsApp,General,Positif,Resolved,31,False
INT-00047-0099,SME-2024-00047,2026-04-16 17:17:00,Phone,General,Netral,Resolved,35,False
INT-00047-0100,SME-2024-00047,2025-08-16 13:48:00,WhatsApp,Billing,Positif,Resolved,13,False
INT-00047-0101,SME-2024-00047,2025-10-02 14:44:00,Portal,Technical,Positif,Resolved,30,False
INT-00048-0102,SME-2024-00048,2025-12-12 13:23:00,Phone,Technical,Positif,Pending,41,True
INT-00048-0103,SME-2024-00048,2025-10-27 14:25:00,Live Chat,General,Positif,Resolved,13,False
INT-00048-0104,SME-2024-00048,2026-02-18 09:21:00,WhatsApp,General,Negatif,Resolved,44,False
INT-00049-0105,SME-2024-00049,2025-10-05 14:09:00,Portal,General,Positif,Resolved,19,False
INT-00050-0106,SME-2024-00050,2026-06-01 14:33:00,WhatsApp,General,Positif,Resolved,22,False
INT-00050-0107,SME-2024-00050,2026-05-13 15:19:00,Live Chat,General,Positif,Resolved,28,False
INT-00051-0108,SME-2024-00051,2025-12-10 17:16:00,WhatsApp,General,Negatif,Resolved,66,False
INT-00051-0109,SME-2024-00051,2025-10-22 09:20:00,WhatsApp,General,Netral,Escalated,51,True
INT-00051-0110,SME-2024-00051,2026-06-03 13:05:00,Email,Technical,Positif,Resolved,47,False
INT-00051-0111,SME-2024-00051,2025-07-10 11:18:00,Phone,Upgrade,Positif,Resolved,45,False
INT-00052-0112,SME-2024-00052,2026-04-22 10:38:00,Phone,Technical,Netral,Resolved,20,False
INT-00052-0113,SME-2024-00052,2025-11-05 10:30:00,Email,Technical,Positif,Resolved,44,False
INT-00052-0114,SME-2024-00052,2026-06-12 08:12:00,Phone,Upgrade,Netral,Resolved,28,False
INT-00053-0115,SME-2024-00053,2025-08-10 15:16:00,WhatsApp,Technical,Negatif,Pending,70,True
INT-00055-0116,SME-2024-00055,2025-11-16 14:18:00,WhatsApp,General,Netral,Pending,18,True
INT-00057-0117,SME-2024-00057,2026-06-17 09:57:00,Phone,Upgrade,Negatif,Pending,36,True
INT-00057-0118,SME-2024-00057,2026-03-02 16:40:00,Portal,Technical,Netral,Resolved,30,False
INT-00057-0119,SME-2024-00057,2026-06-13 16:54:00,Portal,Billing,Positif,Resolved,44,False
INT-00057-0120,SME-2024-00057,2026-03-26 11:56:00,WhatsApp,General,Negatif,Pending,59,True
INT-00057-0121,SME-2024-00057,2025-12-15 16:36:00,Phone,Billing,Netral,Pending,36,True
INT-00058-0122,SME-2024-00058,2026-05-16 10:51:00,WhatsApp,Upgrade,Negatif,Pending,64,True
INT-00058-0123,SME-2024-00058,2026-04-12 14:16:00,Phone,General,Netral,Resolved,9,False
INT-00058-0124,SME-2024-00058,2025-09-25 16:04:00,Live Chat,General,Netral,Resolved,30,False
INT-00059-0125,SME-2024-00059,2025-08-06 16:43:00,WhatsApp,Technical,Positif,Pending,45,True
INT-00059-0126,SME-2024-00059,2026-03-27 09:37:00,WhatsApp,Billing,Positif,Resolved,57,False
INT-00059-0127,SME-2024-00059,2025-11-15 15:41:00,Portal,General,Netral,Resolved,29,False
INT-00060-0128,SME-2024-00060,2026-03-24 14:55:00,WhatsApp,Billing,Negatif,Closed-no-solution,42,False
INT-00060-0129,SME-2024-00060,2025-07-05 10:39:00,Portal,General,Netral,Resolved,27,False
INT-00060-0130,SME-2024-00060,2025-10-16 17:15:00,Phone,Billing,Positif,Resolved,21,False
INT-00061-0131,SME-2024-00061,2026-01-16 10:24:00,Email,Technical,Negatif,Resolved,31,False
INT-00061-0132,SME-2024-00061,2026-01-26 12:42:00,Email,Billing,Negatif,Resolved,42,False
INT-00061-0133,SME-2024-00061,2026-04-15 12:00:00,Email,Technical,Netral,Resolved,22,False
INT-00062-0134,SME-2024-00062,2026-01-12 17:53:00,WhatsApp,Billing,Positif,Pending,22,True
INT-00062-0135,SME-2024-00062,2025-10-15 17:19:00,WhatsApp,Technical,Positif,Pending,12,True
INT-00062-0136,SME-2024-00062,2025-11-10 11:26:00,Phone,General,Netral,Resolved,22,False
INT-00063-0137,SME-2024-00063,2025-08-17 16:07:00,WhatsApp,General,Negatif,Closed-no-solution,49,False
INT-00063-0138,SME-2024-00063,2026-06-24 11:38:00,WhatsApp,Upgrade,Netral,Pending,29,True
INT-00063-0139,SME-2024-00063,2025-11-20 12:01:00,Phone,Technical,Netral,Resolved,48,False
INT-00063-0140,SME-2024-00063,2025-11-22 11:44:00,Phone,Technical,Netral,Resolved,14,False
INT-00063-0141,SME-2024-00063,2026-01-12 17:42:00,Phone,Technical,Netral,Resolved,29,False
INT-00064-0142,SME-2024-00064,2026-01-07 13:09:00,WhatsApp,Billing,Negatif,Resolved,105,False
INT-00066-0143,SME-2024-00066,2026-02-10 15:02:00,Phone,Technical,Netral,Resolved,36,False
INT-00066-0144,SME-2024-00066,2025-10-06 08:28:00,Email,Upgrade,Netral,Resolved,46,False
INT-00066-0145,SME-2024-00066,2026-04-18 15:30:00,Live Chat,General,Positif,Resolved,45,False
INT-00066-0146,SME-2024-00066,2026-06-25 13:08:00,Phone,General,Netral,Resolved,28,False
INT-00069-0147,SME-2024-00069,2026-01-18 11:50:00,Phone,Upgrade,Negatif,Resolved,55,False
INT-00069-0148,SME-2024-00069,2026-06-12 09:30:00,Phone,Technical,Positif,Resolved,5,False
INT-00070-0149,SME-2024-00070,2025-08-11 13:23:00,Email,Billing,Positif,Resolved,34,False
INT-00070-0150,SME-2024-00070,2025-12-18 10:59:00,Phone,Upgrade,Positif,Escalated,27,True
INT-00070-0151,SME-2024-00070,2026-04-26 13:16:00,Email,Technical,Netral,Resolved,35,False
INT-00070-0152,SME-2024-00070,2025-11-24 11:27:00,Email,Upgrade,Positif,Resolved,53,False
INT-00071-0153,SME-2024-00071,2025-09-10 16:30:00,WhatsApp,Billing,Positif,Resolved,50,False
INT-00071-0154,SME-2024-00071,2025-12-10 11:19:00,WhatsApp,General,Negatif,Closed-no-solution,62,False
INT-00072-0155,SME-2024-00072,2025-07-04 16:18:00,Phone,Technical,Netral,Resolved,55,False
INT-00072-0156,SME-2024-00072,2025-12-06 16:35:00,WhatsApp,Billing,Netral,Resolved,36,False
INT-00072-0157,SME-2024-00072,2026-01-03 09:23:00,Live Chat,Technical,Negatif,Closed-no-solution,64,False
INT-00073-0158,SME-2024-00073,2026-05-08 14:48:00,Portal,Technical,Positif,Resolved,14,False
INT-00073-0159,SME-2024-00073,2025-11-02 12:29:00,Phone,Billing,Netral,Resolved,28,False
INT-00073-0160,SME-2024-00073,2025-12-22 13:19:00,Phone,Billing,Positif,Pending,12,True
INT-00074-0161,SME-2024-00074,2025-09-11 17:28:00,Portal,Billing,Positif,Resolved,13,False
INT-00074-0162,SME-2024-00074,2025-11-10 15:06:00,WhatsApp,Technical,Positif,Resolved,16,False
INT-00074-0163,SME-2024-00074,2025-08-22 09:14:00,WhatsApp,General,Netral,Resolved,23,False
INT-00075-0164,SME-2024-00075,2025-10-07 08:40:00,Email,Technical,Netral,Resolved,31,False
INT-00076-0165,SME-2024-00076,2025-11-04 16:42:00,Email,General,Negatif,Closed-no-solution,49,False
INT-00076-0166,SME-2024-00076,2025-07-18 15:17:00,WhatsApp,Technical,Netral,Resolved,28,False
INT-00077-0167,SME-2024-00077,2026-05-24 09:42:00,Phone,Technical,Positif,Resolved,33,False
INT-00077-0168,SME-2024-00077,2026-05-15 08:13:00,Phone,General,Positif,Resolved,42,False
INT-00077-0169,SME-2024-00077,2026-04-13 09:05:00,Email,Billing,Positif,Resolved,25,False
INT-00078-0170,SME-2024-00078,2026-02-07 10:34:00,WhatsApp,Technical,Positif,Resolved,20,False
INT-00078-0171,SME-2024-00078,2025-07-03 11:32:00,Phone,Billing,Positif,Resolved,58,False
INT-00078-0172,SME-2024-00078,2025-11-08 15:23:00,Live Chat,Billing,Positif,Resolved,11,False
INT-00079-0173,SME-2024-00079,2026-01-09 16:27:00,WhatsApp,General,Netral,Resolved,23,False
INT-00080-0174,SME-2024-00080,2025-07-13 14:40:00,Email,General,Negatif,Resolved,65,False
INT-00081-0175,SME-2024-00081,2025-11-25 15:33:00,Portal,Billing,Netral,Resolved,43,False
INT-00081-0176,SME-2024-00081,2025-08-19 15:01:00,WhatsApp,Technical,Negatif,Pending,32,True
INT-00082-0177,SME-2024-00082,2026-05-12 08:52:00,Phone,Technical,Netral,Resolved,44,False
INT-00082-0178,SME-2024-00082,2025-11-20 14:31:00,Email,Technical,Negatif,Closed-no-solution,75,False
INT-00083-0179,SME-2024-00083,2026-01-11 14:37:00,Phone,Upgrade,Netral,Resolved,23,False
INT-00083-0180,SME-2024-00083,2026-06-13 17:28:00,WhatsApp,Upgrade,Netral,Resolved,47,False
INT-00084-0181,SME-2024-00084,2026-06-12 15:39:00,Portal,Technical,Netral,Resolved,10,False
INT-00084-0182,SME-2024-00084,2026-02-27 11:45:00,Live Chat,Upgrade,Netral,Resolved,26,False
INT-00085-0183,SME-2024-00085,2026-05-24 13:18:00,Live Chat,Billing,Positif,Resolved,29,False
INT-00085-0184,SME-2024-00085,2025-11-01 09:59:00,WhatsApp,Technical,Netral,Resolved,37,False
INT-00085-0185,SME-2024-00085,2026-02-07 15:00:00,WhatsApp,Billing,Netral,Resolved,15,False
INT-00085-0186,SME-2024-00085,2025-12-14 16:48:00,Phone,Upgrade,Negatif,Pending,45,True
INT-00085-0187,SME-2024-00085,2025-08-22 09:32:00,WhatsApp,Billing,Positif,Resolved,50,False
INT-00086-0188,SME-2024-00086,2025-11-17 11:14:00,Portal,Billing,Positif,Resolved,69,False
INT-00086-0189,SME-2024-00086,2026-01-10 15:01:00,Portal,General,Positif,Resolved,17,False
INT-00086-0190,SME-2024-00086,2026-05-10 16:50:00,WhatsApp,Technical,Positif,Resolved,35,False
INT-00086-0191,SME-2024-00086,2025-09-11 10:58:00,Portal,Upgrade,Positif,Resolved,31,False
INT-00087-0192,SME-2024-00087,2026-04-17 09:58:00,Email,General,Netral,Resolved,22,False
INT-00087-0193,SME-2024-00087,2026-05-12 14:50:00,Email,Billing,Netral,Pending,33,True
INT-00087-0194,SME-2024-00087,2026-03-07 16:21:00,WhatsApp,Technical,Positif,Resolved,28,False
INT-00087-0195,SME-2024-00087,2025-09-05 14:17:00,Phone,General,Netral,Resolved,17,False
INT-00087-0196,SME-2024-00087,2026-02-03 15:04:00,WhatsApp,Billing,Positif,Resolved,48,False
INT-00088-0197,SME-2024-00088,2026-02-11 15:09:00,WhatsApp,Technical,Netral,Resolved,41,False
INT-00088-0198,SME-2024-00088,2025-12-05 16:32:00,WhatsApp,Technical,Positif,Resolved,22,False
INT-00089-0199,SME-2024-00089,2026-06-12 14:19:00,WhatsApp,Billing,Positif,Resolved,40,False
INT-00089-0200,SME-2024-00089,2025-10-26 11:11:00,Live Chat,General,Positif,Resolved,44,False
INT-00089-0201,SME-2024-00089,2026-03-20 08:51:00,Phone,Upgrade,Positif,Resolved,44,False
INT-00090-0202,SME-2024-00090,2026-01-11 11:36:00,WhatsApp,Technical,Negatif,Pending,60,True
INT-00090-0203,SME-2024-00090,2026-04-10 10:51:00,Email,General,Negatif,Closed-no-solution,63,False
INT-00090-0204,SME-2024-00090,2025-11-18 12:54:00,WhatsApp,General,Netral,Resolved,29,False
INT-00091-0205,SME-2024-00091,2026-05-24 13:08:00,Email,Technical,Negatif,Resolved,41,False
INT-00091-0206,SME-2024-00091,2026-02-14 08:16:00,Live Chat,Technical,Positif,Resolved,33,False
INT-00091-0207,SME-2024-00091,2025-11-10 16:20:00,Phone,General,Netral,Resolved,35,False
INT-00092-0208,SME-2024-00092,2025-12-25 10:44:00,WhatsApp,General,Netral,Resolved,22,False
INT-00092-0209,SME-2024-00092,2025-12-21 10:25:00,WhatsApp,Upgrade,Netral,Resolved,8,False
INT-00092-0210,SME-2024-00092,2026-03-11 16:11:00,Portal,General,Positif,Resolved,31,False
INT-00092-0211,SME-2024-00092,2026-02-16 15:50:00,Phone,Upgrade,Netral,Resolved,15,False
INT-00093-0212,SME-2024-00093,2025-09-10 14:10:00,Phone,General,Positif,Resolved,38,False
INT-00093-0213,SME-2024-00093,2026-05-16 13:44:00,WhatsApp,Billing,Netral,Resolved,58,False
INT-00093-0214,SME-2024-00093,2025-10-13 14:30:00,Live Chat,Billing,Negatif,Resolved,72,False
INT-00093-0215,SME-2024-00093,2025-12-13 08:24:00,WhatsApp,Upgrade,Netral,Resolved,30,False
INT-00093-0216,SME-2024-00093,2025-07-25 12:57:00,Live Chat,Upgrade,Netral,Resolved,39,False
INT-00093-0217,SME-2024-00093,2026-06-15 15:25:00,Email,Technical,Negatif,Pending,43,True
INT-00095-0218,SME-2024-00095,2026-04-12 14:16:00,WhatsApp,Billing,Netral,Pending,19,True
INT-00095-0219,SME-2024-00095,2025-10-09 17:09:00,Phone,Technical,Positif,Resolved,14,False
INT-00095-0220,SME-2024-00095,2025-08-13 08:23:00,Live Chat,Technical,Negatif,Pending,60,True
INT-00095-0221,SME-2024-00095,2025-08-05 17:25:00,Live Chat,General,Positif,Resolved,18,False
INT-00095-0222,SME-2024-00095,2026-05-27 12:52:00,Live Chat,Technical,Positif,Resolved,39,False
INT-00096-0223,SME-2024-00096,2026-02-05 09:30:00,Live Chat,Upgrade,Netral,Resolved,41,False
INT-00096-0224,SME-2024-00096,2026-02-27 13:53:00,WhatsApp,Technical,Netral,Resolved,65,False
INT-00096-0225,SME-2024-00096,2026-05-14 16:32:00,WhatsApp,Upgrade,Netral,Resolved,5,False
INT-00096-0226,SME-2024-00096,2026-02-26 08:07:00,WhatsApp,Billing,Netral,Resolved,23,False
INT-00097-0227,SME-2024-00097,2025-11-26 11:42:00,Phone,Billing,Netral,Pending,40,True
INT-00097-0228,SME-2024-00097,2025-09-08 11:53:00,WhatsApp,General,Positif,Resolved,42,False
INT-00097-0229,SME-2024-00097,2025-09-21 11:38:00,Email,General,Negatif,Resolved,58,False
INT-00098-0230,SME-2024-00098,2026-03-23 08:25:00,WhatsApp,General,Positif,Resolved,5,False
INT-00099-0231,SME-2024-00099,2026-01-01 15:32:00,Email,General,Netral,Resolved,31,False
INT-00099-0232,SME-2024-00099,2026-01-05 12:24:00,WhatsApp,General,Negatif,Closed-no-solution,68,False
INT-00099-0233,SME-2024-00099,2026-06-21 09:00:00,WhatsApp,Billing,Positif,Pending,41,True
INT-00100-0234,SME-2024-00100,2026-05-12 08:15:00,Live Chat,Upgrade,Netral,Resolved,22,False
INT-00102-0235,SME-2024-00102,2025-10-23 09:52:00,WhatsApp,Technical,Positif,Resolved,48,False
INT-00102-0236,SME-2024-00102,2026-01-23 12:26:00,Phone,Technical,Positif,Resolved,14,False
INT-00102-0237,SME-2024-00102,2025-09-19 09:29:00,WhatsApp,Billing,Positif,Resolved,37,False
INT-00103-0238,SME-2024-00103,2026-03-07 16:58:00,Phone,Technical,Positif,Resolved,24,False
INT-00103-0239,SME-2024-00103,2025-08-11 12:16:00,WhatsApp,General,Netral,Resolved,47,False
INT-00103-0240,SME-2024-00103,2026-03-11 13:41:00,WhatsApp,Technical,Negatif,Resolved,50,False
INT-00104-0241,SME-2024-00104,2025-12-04 14:42:00,WhatsApp,Technical,Netral,Resolved,5,False
INT-00104-0242,SME-2024-00104,2026-02-11 10:09:00,WhatsApp,Upgrade,Negatif,Pending,74,True
INT-00104-0243,SME-2024-00104,2026-03-24 16:12:00,WhatsApp,General,Netral,Resolved,30,False
INT-00105-0244,SME-2024-00105,2026-03-04 13:27:00,Portal,General,Positif,Resolved,32,False
INT-00105-0245,SME-2024-00105,2026-04-16 17:50:00,Phone,Upgrade,Negatif,Resolved,60,False
INT-00106-0246,SME-2024-00106,2025-10-19 08:49:00,Email,General,Netral,Resolved,36,False
INT-00106-0247,SME-2024-00106,2026-03-15 13:15:00,WhatsApp,Upgrade,Negatif,Pending,45,True
INT-00107-0248,SME-2024-00107,2026-04-25 15:11:00,Phone,Technical,Positif,Resolved,38,False
INT-00107-0249,SME-2024-00107,2025-12-15 12:45:00,Live Chat,Technical,Netral,Resolved,41,False
INT-00107-0250,SME-2024-00107,2026-03-12 14:51:00,WhatsApp,Technical,Netral,Pending,57,True
INT-00107-0251,SME-2024-00107,2025-11-20 10:54:00,WhatsApp,Technical,Netral,Resolved,38,False
INT-00108-0252,SME-2024-00108,2025-10-20 17:31:00,Live Chat,Technical,Negatif,Resolved,26,False
INT-00108-0253,SME-2024-00108,2026-05-19 09:16:00,Phone,General,Negatif,Closed-no-solution,50,False
INT-00108-0254,SME-2024-00108,2026-01-07 11:57:00,WhatsApp,Billing,Netral,Resolved,15,False
INT-00109-0255,SME-2024-00109,2025-09-04 13:18:00,Phone,Technical,Netral,Resolved,20,False
INT-00110-0256,SME-2024-00110,2025-07-11 11:07:00,WhatsApp,General,Netral,Resolved,47,False
INT-00110-0257,SME-2024-00110,2025-08-19 10:24:00,Portal,General,Positif,Resolved,22,False
INT-00110-0258,SME-2024-00110,2025-08-08 13:17:00,WhatsApp,Technical,Netral,Pending,13,True
INT-00110-0259,SME-2024-00110,2026-02-19 09:31:00,Phone,General,Netral,Resolved,10,False
INT-00110-0260,SME-2024-00110,2025-08-15 11:05:00,WhatsApp,Billing,Positif,Resolved,25,False
INT-00111-0261,SME-2024-00111,2026-04-27 12:09:00,Live Chat,Billing,Netral,Resolved,24,False
